# Dzielnicowki: niecentralne wydarzenia organizowane przez lokalne struktury
# partyjne (PDS/Linke, SPD). Nigdy nie trafily na mapy, wiec nie da sie ich
# sparsowac -- sa wpisywane tutaj z prasy i z kronik.
#
# data    -- 01.05 albo 30.04. Czesc imprez to "Tanz in den Mai" z wieczora
#            30 kwietnia; to osobne wydarzenia i nie mieszaja sie z 1 maja.
# seria   -- nazwa cyklu, jesli wydarzenie powtarza sie co roku. Dzieki niej
#            POLE widzi ciaglosc, a nie osobne wydarzenie w kazdym roku.
# pewnosc -- "pewna" gdy zrodlo podaje wszystko wprost, "dzielnica" gdy sama
#            dzielnica jest wywnioskowana z adresu, "godzina" gdy brak godziny.
rok	data	miasto	dzielnica	aktor	typ	nazwa	godzina_od	godzina_do	miejsce	osoby	seria	pewnosc	zrodlo	uwaga	cytat
1992	30.04	DE	Pankow	PDS	festyn	Talk und Tanz in den 1. Mai	18:00		Haus der PDS Pankow, Breite Straße 48	Kerstin Kaiser; André Brie		pewna	ND 30.04.1992		ab 18 Uhr im Haus der PDS Pankow, Breite Straße 48, „Talk und Tanz in den 1. Mai“. Die Besucher erwartet ein Gespräch mit PDS-Kandidatinnen sowie mit Kerstin Kaiser und Andr§ Brie. Ebenfalls heute abend (
1992	30.04	DE	Wedding	PDS	festyn	Links-Treff: Entscheiden müssen die Betroffenen	19:00		Weddingstraße 6	Gesine Lötzsch		pewna	ND 30.04.1992		19 Uhr) ist im Wedding (Weddingstra-ße 6) ein Links-Treff mit der PDS-Fraktionsvorsitzenden Gesine Lötzsch zum Thema „Entscheiden müssen die Betroffenen - PDS Berlin stellt ein Selbstverwaltungsgesetz vor“ angesagt. In Treptow findet heute
1992	30.04	DE	Treptow	PDS	festyn	Mai-Fete im Klub der AG Junge GenossInnen	19:00		Grünauer Straße 7 (Baracke)			pewna	ND 30.04.1992		ab 19 Uhr im Klub der AG Junge Genossinnen in der Grünauer Straße 7 (Baracke) eine Mai-Fete statt.
1992	01.05	DE	Mitte	PDS	festyn	Großes Familienfest am Köllnischen Park	12:00		Haus Am Köllnischen Park			pewna	ND 30.04.1992		ab 12 Uhr das Haus Am Köllnischen Park zu einem großen Familienfest ein,
1992	01.05	DE	Weißensee	PDS	festyn	Frühlingsfest Parkstraße	14:00		Parkstraße 23			pewna	ND 30.04.1992		14 Uhr startet in Weißensee in der Parkstraße 23 ein Frühlingsfest, ebenso auf der Köpenicker Schloßinsel. Kiezfeste mit Gregor Gysi finden am Nachmittag in Alt-Marzahn (
1992	01.05	DE	Köpenick	PDS	festyn	Frühlingsfest auf der Schloßinsel	14:00		Köpenicker Schloßinsel		1. Mai Fest Köpenick	pewna	ND 30.04.1992		14 Uhr startet in Weißensee in der Parkstraße 23 ein Frühlingsfest, ebenso auf der Köpenicker Schloßinsel. Kiezfeste mit Gregor Gysi finden am Nachmittag in Alt-Marzahn (
1992	01.05	DE	Marzahn	PDS	festyn	Kiezfest Alt-Marzahn	13:00		Alt-Marzahn	Gregor Gysi	Rot ist der Mai / Alt-Marzahn	pewna	ND 30.04.1992		ab 13 Uhr bei der Maifete iri Alt-Marzahn. Für die Kinder, stehen Maibaumklettern, Kremserfahrten, Basteln und Spielen auf dem Programm. Für die Größeren signieien Schriftsteller ihre Bücher, gibt es Infostände. Bezirkspolitiker wie Bürgermeister-Harald Buttler und PDS-Fra'itionschef in der BW Norbert Lüdtke sowie Abgeordnete de$ Bezirkes im Berliner Parlament wie Dagmar Pohle und Margit Barth, dazu Margitta Mächtig,
1992	01.05	DE	Hellersdorf	PDS	festyn	Kiezfest Hellersdorf	17:00			Gregor Gysi		pewna	ND 30.04.1992		10-17 Uhr, Oberseepark, Hellersdorf,
1992	01.05	DE	Pankow	PDS	festyn	Familiennachmittag in der »Pankgräfin«	16:00		Breite Straße 43			pewna	ND 30.04.1992		ab 16 Uhr auch in der „Pankgräfin“ in Pankow (Breite Straße 43) gemeinsam mit PDS-Kandidaten
1992	01.05	DE	Treptow	PDS	festyn	Maifeier im Johannisthaler Springbornclub	14:00		Springbornstraße		Maifest Springbornclub Johannisthal	pewna	ND 30.04.1992		ab 14 Uhr gleich zwei Maifeiern ein: Im Johannisthaler Springbornclub (Springbornstraße) und im Gerard-Philippe-Klub (Karl-Kunger-Stra-ße).
