# Cykle dzielnicowe: wydarzenia, o ktorych wiadomo, ze odbywaly sie co roku,
# nawet jesli nie mamy opisu kazdej edycji. Sluzy do liczenia ciaglosci --
# NIE dopisuje wydarzen do tabeli, bo edycji bez zrodla nie wymyslamy.
seria	dzielnica	aktor	od_roku	do_roku	dowod
1. Mai Fest Köpenick	Köpenick	PDS / Die Linke	1992	2019	18. edycja w 2009, a wiec pierwsza w 1992; potwierdzone opisy 1992, 1993, 1997, 2000, 2005, 2013, 2017, 2018
Rot ist der Mai / Alt-Marzahn	Marzahn	PDS	1992	2000	opisy 1992, 1993, 1996, 1997, 2000; potem brak w zebranych zrodlach
Maifest Boulevard Kastanienallee	Hellersdorf	PDS / Volkssolidarität	1993	1998	opisy 1993, 1996, 1997, 1998
Maifest am Obersee	Hohenschönhausen	PDS / Aktionsbündnis	1994	2000	opisy 1994, 1996, 1997, 2000; w 1994 organizuje Aktionsbündnis für Soziale Verantwortung (20 stowarzyszen, kandydaci czterech partii), pozniej PDS
Humannplatz Prenzlauer Berg	Prenzlauer Berg	PDS / Antifa	1995	2000	opisy 1995, 1996, 2000
Maifest Springbornclub Johannisthal	Treptow	PDS / Die Linke	1992	2017	opisy 1992, 1993, 2000, 2005, 2017
Mariannenplatzfest	Kreuzberg	PDS / Die Linke	1997	2019	"Zehn Jahre Mariannenplatzfest" (Linke FHKB 2007): pierwsze w 1997, do 20 tys. osob; opisy 2000, 2005, 2017, 2018
Fest an der Bötzow-Eiche	Prenzlauer Berg	PDS / Die Linke	2000	2019	opisy 2000 (PDS-Fest Bötzowstraße), 2005, 2017, 2018
Maifest Hohenschönhausen (Falkenberger Chaussee)	Hohenschönhausen	PDS / Die Linke	2005	2019	opisy 2005, 2010, 2012, 2013, 2017, 2018, 2019; Berliner Morgenpost 2010 pisze o "jährlich stattfindenden Stadtteilfest", wiec cykl jest starszy niz 2005 -- poczatek do ustalenia
Markt am Rathaus Lichtenberg	Lichtenberg	Die Linke	2017	2019	opisy 2017, 2018, 2019
1. Mai-Fest Cecilienplatz	Hellersdorf	Die Linke	2017	2017	jedyny opis: newsletter Die Linke Berlin 21.04.2017; nie wiadomo, czy cykl trwal dluzej
Maifest im ND-Haus Friedrichshain	Friedrichshain	PDS	1993	1994	opisy 1993 (ND i PDS Friedrichshain) i 1994 (PDS Friedrichshain i Lichtenberg), oba na Franz-Mehring-Platz
Maifeier am Orankebad	Hohenschönhausen	SPD	1994	1995	opisy 1994 i 1995, oba 14:00-18:00 przy Orankebad
