# Srednie frekwencje, wyciagniete z index.html (wykresy w repo).
# Zrodlo prawdy dla liczb -- policzone z arkusza, nie liczone tutaj.
# Regeneruje: python3 parse_srednie.py
rok	miasto	seria	etykieta	grupa	srednia
1990	DE	dgb	DGB Berlin	union	56667
1990	DE	pds_u	PDS/Ost (1990–94)	union	15500
1990	DE	revo_j	Revo joint (1990–95)	alt	12500
1991	DE	dgb	DGB Berlin	union	10000
1991	DE	revo_j	Revo joint (1990–95)	alt	12667
1992	DE	antinazi	Antinazi	alt	200
1992	DE	dgb	DGB Berlin	union	23000
1992	DE	nazi	Nazi demo	alt	50
1992	DE	pds_u	PDS/Ost (1990–94)	union	6000
1992	DE	revo_j	Revo joint (1990–95)	alt	13500
1993	DE	dgb	DGB Berlin	union	16667
1993	DE	nazi	Nazi demo	alt	100
1993	DE	pds_u	PDS/Ost (1990–94)	union	6000
1993	DE	revo_j	Revo joint (1990–95)	alt	7750
1994	DE	antinazi	Antinazi	alt	450
1994	DE	dgb	DGB Berlin	union	6000
1994	DE	nazi	Nazi demo	alt	5
1994	DE	pds_u	PDS/Ost (1990–94)	union	1000
1994	DE	revo_j	Revo joint (1990–95)	alt	900
1995	DE	dgb	DGB Berlin	union	7400
1995	DE	revo_j	Revo joint (1990–95)	alt	2250
1996	DE	antinazi	Antinazi	alt	40
1996	DE	dgb	DGB Berlin	union	16667
1996	DE	nazi	Nazi demo	alt	350
1996	DE	pds_a	PDS/Ost (1995–02)	alt	2200
1996	DE	revo13	Revolutionäre 13	alt	3000
1996	DE	revo18	Revolutionäre 18	alt	10000
1997	DE	dgb	DGB Berlin	union	9500
1997	DE	pds_a	PDS/Ost (1995–02)	alt	7333
1997	DE	revo13	Revolutionäre 13	alt	2000
1997	DE	revo18	Revolutionäre 18	alt	9000
1998	DE	dgb	DGB Berlin	union	13875
1998	DE	marian	Mariannenplatzfest	fest	1500
1998	DE	pds_a	PDS/Ost (1995–02)	alt	6500
1998	DE	revo13	Revolutionäre 13	alt	1750
1998	DE	revo18	Revolutionäre 18	alt	6667
1999	DE	dgb	DGB Berlin	union	10400
1999	DE	pds_a	PDS/Ost (1995–02)	alt	10000
1999	DE	revo13	Revolutionäre 13	alt	1500
1999	DE	revo18	Revolutionäre 18	alt	14000
2000	DE	antinazi	Antinazi	alt	10000
2000	DE	dgb	DGB Berlin	union	11167
2000	DE	marian	Mariannenplatzfest	fest	5000
2000	DE	nazi	Nazi demo	alt	1000
2000	DE	pds_a	PDS/Ost (1995–02)	alt	3667
2000	DE	revo13	Revolutionäre 13	alt	1500
2000	DE	revo18	Revolutionäre 18	alt	13333
2001	DE	antinazi	Antinazi	alt	475
2001	DE	dgb	DGB Berlin	union	16833
2001	DE	marian	Mariannenplatzfest	fest	5000
2001	DE	nazi	Nazi demo	alt	100
2001	DE	pds_a	PDS/Ost (1995–02)	alt	7250
2001	DE	revo13	Revolutionäre 13	alt	2250
2001	DE	revo18	Revolutionäre 18	alt	5500
2002	DE	antinazi	Antinazi	alt	1000
2002	DE	dgb	DGB Berlin	union	13500
2002	DE	nazi	Nazi demo	alt	700
2002	DE	pds_a	PDS/Ost (1995–02)	alt	2250
2002	DE	revo13	Revolutionäre 13	alt	4000
2002	DE	revo18	Revolutionäre 18	alt	9500
2003	DE	antinazi	Antinazi	alt	250
2003	DE	dgb	DGB Berlin	union	13500
2003	DE	myfest	MyFest Kreuzberg	fest	20000
2003	DE	nazi	Nazi demo	alt	1675
2003	DE	revo13	Revolutionäre 13	alt	6750
2003	DE	revo18	Revolutionäre 18	alt	3500
2004	DE	antinazi	Antinazi	alt	3400
2004	DE	dgb	DGB Berlin	union	18500
2004	DE	myfest	MyFest Kreuzberg	fest	30000
2004	DE	nazi	Nazi demo	alt	2300
2004	DE	revo13	Revolutionäre 13	alt	5000
2004	DE	revo18	Revolutionäre 18	alt	3500
2005	DE	dgb	DGB Berlin	union	10500
2005	DE	myfest	MyFest Kreuzberg	fest	15000
2005	DE	revo13	Revolutionäre 13	alt	500
2005	DE	revo18	Revolutionäre 18	alt	0
2006	DE	dgb	DGB Berlin	union	13500
2006	DE	euro	EuroMayDay	alt	4000
2006	DE	myfest	MyFest Kreuzberg	fest	11000
2006	DE	revo13	Revolutionäre 13	alt	50
2006	DE	revo18	Revolutionäre 18	alt	0
2007	DE	dgb	DGB Berlin	union	10500
2007	DE	euro	EuroMayDay	alt	7000
2007	DE	myfest	MyFest Kreuzberg	fest	16000
2007	DE	revo13	Revolutionäre 13	alt	900
2007	DE	revo18	Revolutionäre 18	alt	7667
2008	DE	dgb	DGB Berlin	union	9125
2008	DE	euro	EuroMayDay	alt	6500
2008	DE	myfest	MyFest Kreuzberg	fest	20000
2008	DE	revo13	Revolutionäre 13	alt	300
2008	DE	revo18	Revolutionäre 18	alt	11000
2009	DE	antinazi	Antinazi	alt	3500
2009	DE	dgb	DGB Berlin	union	13500
2009	DE	euro	EuroMayDay	alt	3500
2009	DE	myfest	MyFest Kreuzberg	fest	35000
2009	DE	nazi	Nazi demo	alt	200
2009	DE	revo13	Revolutionäre 13	alt	300
2009	DE	revo18	Revolutionäre 18	alt	8500
2010	DE	antinazi	Antinazi	alt	10000
2010	DE	dgb	DGB Berlin	union	9750
2010	DE	myfest	MyFest Kreuzberg	fest	29000
2010	DE	nazi	Nazi demo	alt	700
2010	DE	revo13	Revolutionäre 13	alt	50
2010	DE	revo18	Revolutionäre 18	alt	12500
2011	DE	dgb	DGB Berlin	union	11500
2011	DE	myfest	MyFest Kreuzberg	fest	27000
2011	DE	revo18	Revolutionäre 18	alt	11333
2012	DE	dgb	DGB Berlin	union	12625
2012	DE	myfest	MyFest Kreuzberg	fest	29500
2012	DE	revo18	Revolutionäre 18	alt	18500
2013	DE	antinazi	Antinazi	alt	2000
2013	DE	dgb	DGB Berlin	union	9750
2013	DE	myfest	MyFest Kreuzberg	fest	40000
