Rok	Liczba uczestników	Źródło
1990	5000	Gazeta Wyborcza
1990	12000	Rzeczpospolita
1990	10000	TPZ
1990	30000	Życie Warszawy
1991	10000	Gazeta Wyborcza
1991	15000	Życie Warszawy
1992	15000	Gazeta Wyborcza
1992	30000	TPZ
1992	4000	Życie Warszawy
1992	47000	Dziennik Trybuna
1993	3000	Gazeta Wyborcza
1993	13000	Dziennik Trybuna
1994	2000	Życie Warszawy
1994	4000	Dziennik Trybuna
1995	2000	Gazeta Wyborcza
1995	2000	Rzeczpospolita
1995	10000	TPZ
1995	4000	Życie Warszawy
1996	2000	Gazeta Wyborcza
1996	2000	Rzeczpospolita
1996	10000	TPZ
1996	4000	Dziennik Trybuna
1997	2000	Gazeta Wyborcza
1997	2000	Rzeczpospolita
1997	2000	Życie Warszawy
1997	4000	Dziennik Trybuna
1998	3000	Rzeczpospolita
1998	6000	TPZ
1998	3000	Życie Warszawy
1999	5000	Gazeta Wyborcza
1999	5000	Rzeczpospolita
1999	6000	TPZ
1999	20000	Życie Warszawy
1999	10000	Dziennik Trybuna
2000	2000	Gazeta Wyborcza
2000	2000	Rzeczpospolita
2000	3500	TPZ
2000	1500	Życie Warszawy
2001	6000	Gazeta Wyborcza
2001	6000	Rzeczpospolita
2001	10000	TPZ
2001	8000	Dziennik Trybuna
2002	1000	Gazeta Wyborcza
2002	1000	Rzeczpospolita
2002	4000	TPZ
2002	2500	Dziennik Trybuna
2002	2000	Lewica.pl
2003	5000	Rzeczpospolita
2003	3000	Wprost
2003	2000	RMF.FM
2004	500	Gazeta Wyborcza
2004	1000	TPZ
2004	500	Wprost
2005	500	Gazeta Wyborcza
2005	1000	TPZ
2005	1000	Dziennik Trybuna
2005	400	Wprost
2005	400	PAP
2005	500	wp.pl
2006	2000	Gazeta Wyborcza
2006	1000	Rzeczpospolita
2006	2000	Dziennik Trybuna
2006	2000	NTP
2007	800	Gazeta Wyborcza
2007	2000	TPZ
2007	2000	Dziennik Trybuna
2007	800	Lewica.pl
2008	2000	Gazeta Wyborcza
2008	2000	Rzeczpospolita
2008	2000	TPZ
2008	2000	Dziennik Trybuna
2008	2000	Wprost
2008	3000	Lewica.pl
2009	1000	Gazeta Wyborcza
2009	500	Rzeczpospolita
2009	1000	TPZ
2009	2000	Dziennik Trybuna
2009	1000	Wprost
2009	1500	PAP
2009	2500	Lewica.pl
2010	1000	Gazeta Wyborcza
2010	300	Rzeczpospolita
2010	200	TPZ
2010	500	Wprost
2010	200	RMF.FM
2011	200	Gazeta Wyborcza
2011	100	Rzeczpospolita
2011	100	Wprost
2012	5000	Gazeta Wyborcza
2012	15000	TPZ
2012	12000	Lewica.pl
2012	15000	FZZHiM
2013	20000	TPZ
2013	20000	Lewica.pl
2013	20000	FZZHiM
2014	10000	TPZ
2014	6000	Lewica.pl
2014	6000	Przegląd Socjalistyczny
2016	1000	Gazeta Wyborcza
2016	5000	TPZ
2016	5000	FZZHiM
2017	300	Gazeta Wyborcza
2017	1000	Polskie Radio
2018	1000	TPZ
2018	500	Wprost
2018	1000	FZZHiM
2018	600	Strajk.eu
