# Miejsce glownego wiecu zwiazkowego w Warszawie, rok po roku. Podane przez
# Pawla; wersja wyliczana z rocznikow byla zla, bo brala pierwsze miejsce,
# jakie padlo w opisie trasy, a nie miejsce wiecu.
# 2015 celowo puste: wiec sie nie odbyl.
rok	miejsce
1990	plac Teatralny
1991	plac Teatralny
1992	plac Teatralny
1993	plac Teatralny
1994	plac Teatralny
1995	plac Teatralny
1996	plac Grzybowski
1997	plac Grzybowski
1998	plac Grzybowski
1999	plac Grzybowski
2000	plac Grzybowski
2001	plac Grzybowski
2002	Sejm RP
2003	Sejm RP
2004	Sejm RP
2005	Sejm RP
2006	Sejm RP
2007	Sejm RP
2008	Sejm RP
2009	Sejm RP
2010	Sejm RP
2011	Wiec pod OPZZ
2012	Park Rydza-Śmigłego
2013	Park Rydza-Śmigłego
2014	Park Rydza-Śmigłego
2015	
2016	Sejm RP
2017	Krakowskie Przedmieście
2018	Krakowskie Przedmieście
