rok,miasto,godzina_od,godzina_do,dzielnica,aktor,sekcja,tekst,grupa,mozliwy_duplikat,dzielnicowe,organizator_lokalny,odniesienie
1991,DE,14:00,,Müggelheim,,Scenariusz,14:00– Maifete w klubie wiejskim w Müggelheim,1991-Müggelheim-14:00-0,FALSE,kandydat,,DE_1990-2019.md:834
1991,DE,15:45,,Kreuzberg,,Prasa / Berliner Zeitung / 2.05.1991,"15:45– na rogu Bänsch i PRoskauer Strasse dochodzi do zamieszek, wywołanych blokadą dojścia w stronę Rigaer Strasse riots/Kreuzberg/1991",1991-Kreuzberg-15:45-0,FALSE,kandydat,,DE_1990-2019.md:1046
1992,DE,13:00,,Kreuzberg,,Events description,13:00 – R1M at Kreuzberg,1992-Kreuzberg-13:00-0,FALSE,kandydat,,DE_1990-2019.md:1402
1992,DE,15:00,,Kreuzberg,FAP,Events description / taz / Krawall in SO 36 FAP-Demo ver­hin­dert,"s between autonomen and RIM+turiksh communists. No route towards Brandenburg, everything stayed in Kreuzberg. 15:00 – Ernst-Thälmann-Platz FAP demonstration, hindered by autonomen and anti-fassits – only 3 to 5k were there.",1992-Kreuzberg-15:00-0,FALSE,kandydat,,DE_1990-2019.md:1765
1993,DE,10:00,,Mitte,,Scenariusz / 1. Mai,10:00 - Gewerkschaftshaus Mitte,1993-Mitte-10:00-0,FALSE,,,DE_1990-2019.md:1946
1993,DE,15:00,,Kreuzberg,,Scenariusz / 1. Mai,"15:00-19:00 - Arbeiterwohlfahrt Kreuzberg ""Beg",1993-Kreuzberg-15:00-0,FALSE,kandydat,,DE_1990-2019.md:1957
1995,DE,14:00,,Hohenschönhausen,,Scenariusz,"- 14:00-18:00, Hohenschönhausen, Orankeba",1995-Hohenschönhausen-14:00-0,FALSE,kandydat,,DE_1990-2019.md:3035
1995,DE,18:00,,Hohenschönhausen,,Scenariusz,"-18:00, Hohenschönhausen, Orankeba",1995-Hohenschönhausen-18:00-0,FALSE,kandydat,,DE_1990-2019.md:3035
1997,DE,11:30,,Wannsee,DGB,Scenariusz,- 11:30 – Zentrale Abschlußkundgebung DGB – vor dem Roten Rathaus. (Diepgen sitzt wie immer am 1. Mai mit seiner Mutter auf den Wannsee-Terrassen.),1997-Wannsee-11:30-0,FALSE,kandydat,,DE_1990-2019.md:3934
1997,DE,12:15,,Reinickendorf,SPD;DAG,Scenariusz,In den Bezirken finden verschiedene Mai-Feste statt: Ab 12.15 Uhr treffen sich die SPD-Kreisverbände Reinickendorf und Pankow sowie die DAG im Bürgerpark Pankow. Am Mariannenplatz in Kreuzberg beginnt ab 15 Uhr ein,1997-Reinickendorf-12:15-0,FALSE,kandydat,,DE_1990-2019.md:3951
1997,DE,15:00,,Kreuzberg,PDS,Scenariusz,"- 15:00 – Multikulti-Programm – Mariannenplatz, Kreuzberg, współorganizowany przez PDS – po raz pierwszy",1997-Kreuzberg-15:00-0,FALSE,kandydat,,DE_1990-2019.md:3941
1997,DE,15:00,,Reinickendorf,DAG,Scenariusz,rbände Reinickendorf und Pankow sowie die DAG im Bürgerpark Pankow. Am Mariannenplatz in Kreuzberg beginnt ab 15 Uhr ein Multikulti-Programm. Auch in Prenzlauer Berg gibt es Straßenfeste ab 10 Uhr am Husemannplatz und ab 11 auf de,1997-Reinickendorf-15:00-0,FALSE,kandydat,,DE_1990-2019.md:3951
1998,DE,13:00,,Kreuzberg,,Scenariusz,"- 13:00 – Revolutionäre 1.-Mai-Demo, Oranienplatz, Kreuzberg",1998-Kreuzberg-13:00-0,FALSE,kandydat,,DE_1990-2019.md:4103
1998,DE,14:00,,Kreuzberg,,Scenariusz,"- 14:00 – Mariannenplatzfest, Kreuzberg (bis 21 Uhr)",1998-Kreuzberg-14:00-0,FALSE,kandydat,,DE_1990-2019.md:4104
1998,DE,14:00,,Tempelhof,,Scenariusz,"- 14:00 – Fest in der Ufa-Fabrik, Viktoriastraße, Tempelhof",1998-Tempelhof-14:00-0,FALSE,kandydat,,DE_1990-2019.md:4105
1998,DE,21:00,,Kreuzberg,,Scenariusz,"– Mariannenplatzfest, Kreuzberg (bis 21 Uhr)",1998-Kreuzberg-21:00-0,FALSE,kandydat,,DE_1990-2019.md:4104
1999,DE,16:00,,Schöneberg,DGB;Falken,Scenariusz,"- 16:00 – Weltbürgerfest 1999 – „Die Weiße Rose"", Jugendzentrum w Schöneberg. Organizatorzy: DGB-Jugend i Die Falken. Od 16 grali streetball, o",1999-Schöneberg-16:00-0,FALSE,kandydat,,DE_1990-2019.md:4214
1999,DE,21:00,,Kreuzberg,,Scenariusz,"–21:00 – Mariannenplatzfest, Kreuzberg – protest przeciwko wojnie. Kultura z grupami Yaam i Kreuzberger Musikalische Aktion. Przemawia Kreuzberger Bür",1999-Kreuzberg-21:00-0,FALSE,kandydat,,DE_1990-2019.md:4225
2000,DE,18:00,,Tempelhof,,Scenariusz,"–18:00 – Kinderbauernhof der ufa-fabrik – Victoriastraße, Tempelhof. Zabawa i spędzanie czasu dla rodzin.",2000-Tempelhof-18:00-0,FALSE,kandydat,,DE_1990-2019.md:4377
2001,DE,11:30,,Hohenschönhausen,,Przebieg za B.Z,"11.30 Uhr, Hohenschönhausen, S-Bahnhof Gehrenseestraße",2001-Hohenschönhausen-11:30-0,FALSE,kandydat,,DE_1990-2019.md:4664
2003,DE,10:00,,Charlottenburg,NPD,Scenariusz,"- 10:00 – Kundgebung und Blockaden gegen NPD-Aufmarsch – Theodor-Heuss-Platz, Charlottenburg. Linke und linksradikale Gruppen versuchen den NPD-Marsch",2003-Charlottenburg-10:00-0,FALSE,kandydat,,DE_1990-2019.md:5011
2003,DE,11:00,,Charlottenburg,NPD,Prasa / labournet.archiv / **Berlin**,"rtet, gilt es allerdings noch die Nazis- bzw. den Verfassungsschutz von der Strasse zu fegen: Die NPD will ab 11 Uhr in Berlin-Charlottenburg aufmarschieren.",2003-Charlottenburg-11:00-0,FALSE,kandydat,,DE_1990-2019.md:5082
2003,DE,23:00,,Neukölln,,Scenariusz,"–23:00 – Neuköllner Maientage – Volkspark Hasenheide, Neukölln. Achterbahnen, Autoscooter, Wurstbuden und Livemusik im Festzelt.",2003-Neukölln-23:00-0,FALSE,kandydat,,DE_1990-2019.md:5016
2004,DE,10:00,,Charlottenburg,,Scenariusz,| zentraler Veranstaltungsort am 01. Mai 2004 ist Berlin:<br<br <brSTART DEMOZUG <br10.00 Uhr Brandenburger Tor (Platz d. 18. März) <br <brTREFF MOTORRAD-CORSO <br10.00 Uhr Charlottenburg Olympischer Pla,2004-Charlottenburg-10:00-0,TRUE,kandydat,,DE_1990-2019.md:5180
2004,DE,10:00,,Charlottenburg,,Scenariusz,Brandenburger Tor (Platz d. 18. März) <br <brTREFF MOTORRAD-CORSO <br10.00 Uhr Charlottenburg Olympischer Platz <br <brKUNDGEBUNG <br11.30 Uhr Platz vor dem Roten Rathaus,2004-Charlottenburg-10:00-0,TRUE,kandydat,,DE_1990-2019.md:5180
2004,DE,11:30,,Charlottenburg,DGB,Scenariusz,"Charlottenburg Olympischer Platz <br <brKUNDGEBUNG <br11.30 Uhr Platz vor dem Roten Rathaus <br <brBegrüßung: <brBernd Rissmann, stellvertretender Vorsitzender des DGB Berlin-Brandenburg <br <br",2004-Charlottenburg-11:30-0,FALSE,TRUE,DGB Charlottenburg,DE_1990-2019.md:5180
2004,DE,16:00,,Kreuzberg,,Scenariusz / Berliner Morgenpost / Mai_-Demo führt doch durch Mitte,"chränkte Strecke angeboten hatte, kam es jetzt zu einem Kompromiss. Die Demonstranten werden am 1. Mai ab 16 Uhr vom Leipziger Platz über die Wilhelmstraße nach Kreuzberg ziehen. Hauptanliegen der Polizei war es, die Demo von dem zeitgleich rund um die Oranienst",2004-Kreuzberg-16:00-0,FALSE,kandydat,,DE_1990-2019.md:5245
2004,DE,16:45,,Prenzlauer Berg,,Wydarzenia,"16.45 Uhr, Senefelder Platz (Prenzlauer Berg).",2004-Prenzlauer Berg-16:45-0,FALSE,kandydat,,DE_1990-2019.md:5159
2004,DE,16:45,,Friedrichshain,,Scenariusz / taz / Der Mai ist gekommen,"16:45, S-Bahnhof Frankfurter Allee: Die Gegendemonstranten sind mit Schubsen, Schlagstöcken und Wasserwerfern weit nach Friedrichshain zurückgedrängt wor",2004-Friedrichshain-16:45-0,FALSE,kandydat,,DE_1990-2019.md:5220
2004,DE,18:15,,Kreuzberg,,Scenariusz / taz / Der Mai ist gekommen,"18:15, Oberbaumbrücke: Die Polizei fährt Kolonne, die Antifas fahren Fahrrad. Alle nach Kreuzberg. An der Brücke trifft man sich wieder, zur Taschenkontr",2004-Kreuzberg-18:15-0,FALSE,kandydat,,DE_1990-2019.md:5225
2005,DE,09:00,,Friedrichshain,,Scenariusz / 30. April (Walpurgisnacht) / 1. Mai / Inne festy 1. Maja (PDS),"- Bötzow-Eiche, Bötzowstraße, Friedrichshain (9:00–20:00)",2005-Friedrichshain-09:00-0,FALSE,kandydat,,DE_1990-2019.md:5377
2005,DE,11:00,,Hohenschönhausen,,Scenariusz / 30. April (Walpurgisnacht) / 1. Mai / Inne festy 1. Maja (PDS),"- Falkenberger Chaussee, Hohenschönhausen (11:00–18:00)",2005-Hohenschönhausen-11:00-0,FALSE,kandydat,,DE_1990-2019.md:5375
2005,DE,16:00,,Friedrichshain,,Scenariusz / 30. April (Walpurgisnacht),"16:00 – Boxhagener Platz, Friedrichshain Walpurgisnacht-Demo „Mai-Steine 2005"", Bündnis gegen Yuppiesierung und Umstrukturierung. Infostände, Diskussione",2005-Friedrichshain-16:00-0,FALSE,kandydat,,DE_1990-2019.md:5361
2005,DE,16:30,,Prenzlauer Berg,,Scenariusz / 30. April (Walpurgisnacht),"16:30 – Mauerpark, Prenzlauer Berg (zwischen Eberswalder und Gleimstraße) Friedliche Walpurgisnacht — tanzen, Friedensgebet (18:30), Helmi-Theater „Der S",2005-Prenzlauer Berg-16:30-0,FALSE,kandydat,,DE_1990-2019.md:5363
2005,DE,18:30,,Prenzlauer Berg,,Scenariusz / 30. April (Walpurgisnacht),", Prenzlauer Berg (zwischen Eberswalder und Gleimstraße) Friedliche Walpurgisnacht — tanzen, Friedensgebet (18:30), Helmi-Theater „Der Schweinehirt"" (18:45), Überraschungen (22:15). Flaschen",2005-Prenzlauer Berg-18:30-0,FALSE,kandydat,,DE_1990-2019.md:5363
2008,DE,09:00,17:00,Friedrichshain,,Scenariusz,"Ostbahnhof, Friedrichshain, 9-17 Uhr.",2008-Friedrichshain-09:00-0,FALSE,kandydat,,DE_1990-2019.md:5847
2008,DE,10:00,22:00,Treptow,,Scenariusz,"Puschkinallee, Treptow, 10-22 Uhr.",2008-Treptow-10:00-0,FALSE,kandydat,,DE_1990-2019.md:5824
2008,DE,10:00,22:00,Biesdorf,,Scenariusz,"Alt-Biesdorf 55, Biesdorf, 10-22 Uhr.",2008-Biesdorf-10:00-0,FALSE,kandydat,,DE_1990-2019.md:5830
2008,DE,10:00,,Reinickendorf,,Scenariusz,"Alte Fasanerie 10, Reinickendorf, ab 10 Uhr.",2008-Reinickendorf-10:00-0,FALSE,kandydat,,DE_1990-2019.md:5834
2008,DE,10:00,18:00,Oberschöneweide,,Scenariusz,"An der Wuhlheide 197, Oberschöneweide, 10-18 Uhr.",2008-Oberschöneweide-10:00-0,FALSE,kandydat,,DE_1990-2019.md:5845
2008,DE,10:00,18:00,Niederschöneweide,,Scenariusz,"Adlergestell Höhe Nr. 107, Niederschöneweide, 10-18 Uhr, 3, erm. 1,50 Euro.",2008-Niederschöneweide-10:00-0,FALSE,kandydat,,DE_1990-2019.md:5852
2008,DE,11:00,23:00,Marzahn,,Scenariusz,"Vom Eastgate bis zum Freizeitforum, Marzahn, 11-23 Uhr.",2008-Marzahn-11:00-0,FALSE,kandydat,,DE_1990-2019.md:5828
2008,DE,11:00,,Friedrichsfelde,,Scenariusz,"Am Tierpark 125, Friedrichsfelde, ab 11 Uhr, 11, erm. 8 Euro.",2008-Friedrichsfelde-11:00-0,FALSE,kandydat,,DE_1990-2019.md:5832
2008,DE,11:00,19:00,Dahlem,,Scenariusz,"Königin-Luise-Straße 49, Dahlem, 11-19 Uhr.",2008-Dahlem-11:00-0,FALSE,kandydat,,DE_1990-2019.md:5836
2008,DE,11:00,23:00,Mariendorf,,Scenariusz,"Mariendorfer Damm, Mariendorf, 11-23 Uhr, 1 Euro.",2008-Mariendorf-11:00-0,FALSE,kandydat,,DE_1990-2019.md:5842
2008,DE,11:00,17:30,Prenzlauer Berg,,Scenariusz,"Senefelderstraße 5, Prenzlauer Berg, 11-17.30 Uhr, 4,50, erm. 3 Euro.",2008-Prenzlauer Berg-11:00-0,FALSE,kandydat,,DE_1990-2019.md:5849
2008,DE,12:00,17:00,Lichterfelde,,Scenariusz,"Ringstraße 76, Lichterfelde, 12-17 Uhr.",2008-Lichterfelde-12:00-0,FALSE,kandydat,,DE_1990-2019.md:5826
2008,DE,12:00,19:00,Karlshorst,,Scenariusz,"Treskowallee 129, Karlshorst, 12-19 Uhr, 2, erm. 1 Euro.",2008-Karlshorst-12:00-0,FALSE,kandydat,,DE_1990-2019.md:5854
2008,DE,13:00,,Kreuzberg,,Scenariusz,"Mariannenplatz, Kreuzberg, ab 13 Uhr.",2008-Kreuzberg-13:00-0,FALSE,kandydat,,DE_1990-2019.md:5817
2008,DE,14:00,,Prenzlauer Berg,,Scenariusz,"Schönhauser Allee 36, Prenzlauer Berg, ab 14 Uhr.",2008-Prenzlauer Berg-14:00-0,FALSE,kandydat,,DE_1990-2019.md:5822
2008,DE,14:00,,Charlottenburg,,Scenariusz,"Eingang Heckerdamm, Charlottenburg, ab 14 Uhr, Eintritt 2 Euro.",2008-Charlottenburg-14:00-0,FALSE,kandydat,,DE_1990-2019.md:5838
2008,DE,20:00,,Mitte,,Scenariusz,"Friedrichstraße 101, Mitte, ab 20 Uhr, 11 Euro.",2008-Mitte-20:00-0,FALSE,,,DE_1990-2019.md:5800
2008,DE,20:00,,Tiergarten,,Scenariusz,"Marlene-Dietrich-Platz 1, Tiergarten, ab 20 Uhr, 18 Euro.",2008-Tiergarten-20:00-0,FALSE,,,DE_1990-2019.md:5804
2008,DE,21:00,,Mitte,,Scenariusz,"Johannisstraße 2, Mitte, ab 21 Uhr, 9,50 Euro.",2008-Mitte-21:00-0,FALSE,,,DE_1990-2019.md:5802
2009,DE,10:00,,Köpenick,,Scenariusz,"veranstaltet vor ihrer Zentrale in Köpenick ein ""Maifest"" mit bis zu 1.000 Nazis. Gegenkundgebung mit Demo ab 10 Uhr vom S-Bahnhof Köpenick.",2009-Köpenick-10:00-0,TRUE,kandydat,,DE_1990-2019.md:6005
2009,DE,10:00,,Köpenick,,Scenariusz,"10 Uhr Köpenick: Kundgebung am Forum Köpenick. Die Demo startet, wenn die Nazis über die Borgmannstraße zum Mandrellaplatz geleitet werden. Zugtreffpunkt",2009-Köpenick-10:00-0,TRUE,kandydat,,DE_1990-2019.md:6018
2010,DE,15:00,,Mitte,,Scenariusz,15.00 Uhr: Der Deutsche Gewerkschafts-Bund gibt die Teilnehmerzahlen seiner 1.-Mai-Demo durch Mitte bekannt - und zwar nach Verkehrsmitteln gestaffelt: Über,2010-Mitte-15:00-0,FALSE,,,DE_1990-2019.md:6096
2015,DE,10:00,,Wedding,DGB,Scenariusz / TAZ relacja na żywo,| Wedding | Leopoldplatz01.05. | DGB-Demo | Klassenkämpferischer Block 10 Uhr | Mitte | Hackescher Markt01.05. | Revolutionäre 1.Mai-Demo | »Wir sind überall« Block | 18 Uhr | Kreuzberg | Spreewaldplatz,2015-Wedding-10:00-0,FALSE,,,DE_1990-2019.md:6774
2015,DE,18:30,,Wedding,DGB,Scenariusz / TAZ relacja na żywo,"loads/2012/03/extern.gif ""externer Link"") mit folgenden Daten: 30.04. | Antikapitalistische-Demo »Organize!« 18.30 Uhr | Wedding | Leopoldplatz01.05. | DGB-Demo | Klassenkämpferischer Block 10 Uhr | Mitte | Hackescher Markt01.05",2015-Wedding-18:30-0,FALSE,,,DE_1990-2019.md:6774
2016,DE,10:00,,Pankow,NPD,"Scenariusz / Kundgebungen zum 30. April 2016, Walpurgisnacht / Kundgebungen zum 1. Mai 2016 (B.Z)","Berlin-Pankow: Erste NPD-Kundgebung „Asylflut stoppen“ am Antonplatz, Beginn 10 Uhr",2016-Pankow-10:00-0,TRUE,kandydat,,DE_1990-2019.md:6901
2016,DE,10:00,,Pankow,,"Scenariusz / Kundgebungen zum 30. April 2016, Walpurgisnacht / Kundgebungen zum 1. Mai 2016 (B.Z)","Berlin-Pankow: Kundgebung Die Grünen „Pankow ist bunt und vielfältig“ auf der Berliner Allee, Beginn 10 Uhr",2016-Pankow-10:00-0,TRUE,kandydat,,DE_1990-2019.md:6902
2016,DE,10:00,,Friedrichshain-Kreuzberg,,"Scenariusz / Kundgebungen zum 30. April 2016, Walpurgisnacht / Kundgebungen zum 1. Mai 2016 (B.Z)","Friedrichshain-Kreuzberg: Kundgebung zur freien Musikäußerung, Beginn 10 Uhr",2016-Friedrichshain-Kreuzberg-10:00-0,FALSE,kandydat,,DE_1990-2019.md:6904
2016,DE,11:30,,Lichtenberg,,"Scenariusz / Kundgebungen zum 30. April 2016, Walpurgisnacht / Kundgebungen zum 1. Mai 2016 (B.Z)","Berlin-Lichtenberg: Kundgebung „Gemeinsam gegen Rassismus – Refugees Welcome“, Beginn 11.30 Uhr",2016-Lichtenberg-11:30-0,FALSE,kandydat,,DE_1990-2019.md:6905
2016,DE,13:00,,Treptow-Köpenick,,"Scenariusz / Kundgebungen zum 30. April 2016, Walpurgisnacht / Kundgebungen zum 1. Mai 2016 (B.Z)","Treptow-Köpenick: Kundgebung „1. Mai – Nazifrei!“ am Busbahnhof Schöneweide, Beginn 13 Uhr",2016-Treptow-Köpenick-13:00-0,FALSE,kandydat,,DE_1990-2019.md:6908
2016,DE,13:30,,Treptow,,"Scenariusz / Kundgebungen zum 30. April 2016, Walpurgisnacht / Kundgebungen zum 1. Mai 2016 (B.Z)","Treptow Köpenick: Kundgebung „Schöner weiden ohne Nazis an der Brückenstraße / Schnellerstraße, Beginn 13.30 Uhr",2016-Treptow-13:30-0,FALSE,kandydat,,DE_1990-2019.md:6910
2016,DE,16:30,,Wedding,,"Scenariusz / Kundgebungen zum 30. April 2016, Walpurgisnacht","Berlin-Wedding: Aufzug durch Wedding, Beginn 16.30 Uhr. Die Strecke: U-Bahnhof Osloer Straße – Schwedenstraße – Badstraße – Buttmannstraße – Thumyssensstraße – Pankstraße – Badstraße – Stettiner Straße –",2016-Wedding-16:30-0,FALSE,,,DE_1990-2019.md:6893
2016,DE,18:00,,Neukölln,,"Scenariusz / Kundgebungen zum 30. April 2016, Walpurgisnacht","Berlin-Neukölln: Kundgebung gegen Räumung eines Kiezladens am Reuterplatz/Reuterstraße, Beginn 18 Uhr",2016-Neukölln-18:00-0,FALSE,kandydat,,DE_1990-2019.md:6895
2017,DE,10:00,,Friedrichshain-Kreuzberg,,Scenariusz / Lista wydarzeń w Berlinie,"Erste Myfest-Kundgebung, Beginn 10 Uhr, Friedrichshain-Kreuzberg, von Görlitzer Bahnhof bis Oranienplatz einschließlich Oranienplatz und vom Oranienplatz bis einschließlich Naunystraße",2017-Friedrichshain-Kreuzberg-10:00-0,TRUE,kandydat,,DE_1990-2019.md:7006
2017,DE,10:00,,Friedrichshain-Kreuzberg,,Scenariusz / Lista wydarzeń w Berlinie,"Zweite Myfest-Kundgebung, Beginn 10 Uhr, Friedrichshain-Kreuzberg, von Mariannenplatz/ Mariannenstraße/ Waldemarstraße bis Heinrichplatz einschließlich Feuerwehrdenkmal und von Mariannenpla",2017-Friedrichshain-Kreuzberg-10:00-0,TRUE,kandydat,,DE_1990-2019.md:7007
