nr,rok,dzielnica,nazwa,zrodlo,dokument,trafnosc,cytat
0,1992,Pankow,Talk und Tanz in den 1. Mai,ND 30.04.1992,artykuly_nd.txt,12.0,"ab 18 Uhr im Haus der PDS Pankow, Breite Straße 48, „Talk und Tanz in den 1. Mai“. Die Besucher erwartet ein Gespräch mit PDS-Kandidatinnen sowie mit Kerstin Kaiser und Andr§ Brie. Ebenfalls heute abend ("
1,1992,Wedding,Links-Treff: Entscheiden müssen die Betroffenen,ND 30.04.1992,artykuly_nd.txt,10.3,19 Uhr) ist im Wedding (Weddingstra-ße 6) ein Links-Treff mit der PDS-Fraktionsvorsitzenden Gesine Lötzsch zum Thema „Entscheiden müssen die Betroffenen - PDS Berlin stellt ein Selbstverwaltungsgesetz vor“ angesagt. In Treptow findet heute
2,1992,Treptow,Mai-Fete im Klub der AG Junge GenossInnen,ND 30.04.1992,artykuly_nd.txt,12.0,ab 19 Uhr im Klub der AG Junge Genossinnen in der Grünauer Straße 7 (Baracke) eine Mai-Fete statt.
3,1992,Mitte,Großes Familienfest am Köllnischen Park,ND 30.04.1992,artykuly_nd.txt,10.0,"ab 12 Uhr das Haus Am Köllnischen Park zu einem großen Familienfest ein,"
4,1992,Weißensee,Frühlingsfest Parkstraße,ND 30.04.1992,artykuly_nd.txt,12.0,"14 Uhr startet in Weißensee in der Parkstraße 23 ein Frühlingsfest, ebenso auf der Köpenicker Schloßinsel. Kiezfeste mit Gregor Gysi finden am Nachmittag in Alt-Marzahn ("
5,1992,Köpenick,Frühlingsfest auf der Schloßinsel,ND 30.04.1992,artykuly_nd.txt,12.0,"14 Uhr startet in Weißensee in der Parkstraße 23 ein Frühlingsfest, ebenso auf der Köpenicker Schloßinsel. Kiezfeste mit Gregor Gysi finden am Nachmittag in Alt-Marzahn ("
6,1992,Marzahn,Kiezfest Alt-Marzahn,ND 30.04.1992,artykuly_nd.txt,7.0,"ab 13 Uhr bei der Maifete iri Alt-Marzahn. Für die Kinder, stehen Maibaumklettern, Kremserfahrten, Basteln und Spielen auf dem Programm. Für die Größeren signieien Schriftsteller ihre Bücher, gibt es Infostände. Bezirkspolitiker wie Bürgermeister-Harald Buttler und PDS-Fra'itionschef in der BW Norbert Lüdtke sowie Abgeordnete de$ Bezirkes im Berliner Parlament wie Dagmar Pohle und Margit Barth, dazu Margitta Mächtig,"
7,1992,Hellersdorf,Kiezfest Hellersdorf,ND 30.04.1992,artykuly_nd.txt,7.0,"10-17 Uhr, Oberseepark, Hellersdorf,"
8,1992,Pankow,Familiennachmittag in der »Pankgräfin«,ND 30.04.1992,artykuly_nd.txt,10.0,ab 16 Uhr auch in der „Pankgräfin“ in Pankow (Breite Straße 43) gemeinsam mit PDS-Kandidaten
9,1992,Treptow,Maifeier im Johannisthaler Springbornclub,ND 30.04.1992,artykuly_nd.txt,12.0,ab 14 Uhr gleich zwei Maifeiern ein: Im Johannisthaler Springbornclub (Springbornstraße) und im Gerard-Philippe-Klub (Karl-Kunger-Stra-ße).
10,1992,Treptow,Maifeier im Gerard-Philippe-Klub,ND 30.04.1992,artykuly_nd.txt,12.0,ab 14 Uhr gleich zwei Maifeiern ein: Im Johannisthaler Springbornclub (Springbornstraße) und im Gerard-Philippe-Klub (Karl-Kunger-Stra-ße).
11,1992,Pankow,Forum zu aktuellen Fragen der Politik,ND 30.04.1992,artykuly_nd.txt,12.0,"Ab 16 Uhr findet im Haus der PDS Pankow.(Breite Straße 48) ein Forum zu aktuellen Fragen der Politik mit dem PDS-Ehrenvorsitzenden Hans Modrow, Mitglied des Bundestages, statt."
12,1993,Friedrichshain,Maifest von ND und PDS Friedrichshain,ND 30.04.1993,artykuly_nd.txt,10.0,"ab 14 Uhr beim „Neuen Deutschland“ vorbeischauen, denn in Innenhof, Foyer und Verlagsgebäude am Franz-Mehring-Platz feiern und diskutieren ND und die PDS Friedrichshain mit Lesern, Freunden und Gästen."
13,1993,Marzahn,Maifest an der PDS-Geschäftsstelle Alt-Marzahn,ND 30.04.1993,artykuly_nd.txt,9.5,"23 Uhr wird rund um die PDS-Geschäftsstelle Alt-Marzahn 64 gefeiert. Ein bunter Nachmittag steht in der PDS-Geschäftsstelle Wei-ßensee, Parkstraße 23"
14,1993,Weißensee,Bunter Nachmittag in der PDS-Geschäftsstelle,ND 30.04.1993,,0,
15,1993,Hellersdorf,Maifest vor dem Haus der Parteien,ND 30.04.1993,artykuly_nd.txt,9.5,10 Uhr vor dem Haus der Parteien in der Kastanienallee 6-8. Im Treptower „Springbrunnenclub“ wird
16,1993,Treptow,Maifete im Springbrunnenclub,ND 30.04.1993,,0,
17,1993,Köpenick,Maifeier der PDS Köpenick,ND 30.04.1993,artykuly_nd.txt,7.0,"14 Uhr startet in Weißensee in der Parkstraße 23 ein Frühlingsfest, ebenso auf der Köpenicker Schloßinsel. Kiezfeste mit Gregor Gysi finden am Nachmittag in Alt-Marzahn ("
18,1993,Kreuzberg,Begegnung der Generationen,ND 30.04.1993,,0,
19,1995,Lichtenberg,Tanz in den Mai,ND 29.04.1995; rocznik DE,DE_1990-2019.md,6.7,
20,1995,Pankow,Tanz in den Mai,ND 29.04.1995; rocznik DE,DE_1990-2019.md,10.0,"- Pankower Tanzschule, Kreuzstraße 3"
21,1995,Köpenick,Tanz in den Mai,ND 29.04.1995; rocznik DE,DE_1990-2019.md,6.7,
22,1995,Treptow,SPD-Rosengartenfest,ND 29.04.1995; rocznik DE,,0,
23,1995,Pankow,Maifest im Bürgerpark,ND 29.04.1995; rocznik DE,,0,
24,1995,Prenzlauer Berg,Antifaschistisches Zelt auf dem Humannplatz,ND 29.04.1995,artykuly_nd.txt,6.7,
25,1996,Hellersdorf,Maifest Boulevard Kastanienallee,ND 30.04.1996,artykuly_nd.txt,8.7,ab 10 Uhr im Boulevard Kastanienallee erwartet. Mit Politikern kann man über die Länderfusion diskutieren. Stadträte und Abgeordnete stehen Rede und Antwort. Herrnann Kant und Gisela Steineckert signieren ihre Bücher.
26,1996,Hohenschönhausen,Festumzug und Maifest am Obersee,ND 30.04.1996,,0,
27,1996,Prenzlauer Berg,"Widerspenstig und lebendig, Humannplatz",ND 30.04.1996,,0,
