id_bazowy,id
1991_PL_demonstracja_PPS,1991_PL_demonstracja_PPS
1991_PL_demonstracja_PPS,1991_PL_demonstracja_PPS_a
2012_PL_demonstracja_NIEZNANY,2012_PL_demonstracja_NIEZNANY
2012_PL_demonstracja_NIEZNANY,2012_PL_demonstracja_NIEZNANY_a
2003_PL_demonstracja_NIEZNANY,2003_PL_demonstracja_NIEZNANY
2003_PL_demonstracja_NIEZNANY,2003_PL_demonstracja_NIEZNANY_a
2004_PL_demonstracja_NIEZNANY,2004_PL_demonstracja_NIEZNANY
2004_PL_demonstracja_NIEZNANY,2004_PL_demonstracja_NIEZNANY_a
2008_PL_demonstracja_NIEZNANY,2008_PL_demonstracja_NIEZNANY
2008_PL_demonstracja_NIEZNANY,2008_PL_demonstracja_NIEZNANY_a
2009_PL_demonstracja_NIEZNANY,2009_PL_demonstracja_NIEZNANY
2009_PL_demonstracja_NIEZNANY,2009_PL_demonstracja_NIEZNANY_a
2013_PL_demonstracja_NIEZNANY,2013_PL_demonstracja_NIEZNANY
2013_PL_demonstracja_NIEZNANY,2013_PL_demonstracja_NIEZNANY_a
2014_PL_demonstracja_NIEZNANY,2014_PL_demonstracja_NIEZNANY
2014_PL_demonstracja_NIEZNANY,2014_PL_demonstracja_NIEZNANY_a
2014_PL_demonstracja_NIEZNANY,2014_PL_demonstracja_NIEZNANY_b
2015_PL_demonstracja_NIEZNANY,2015_PL_demonstracja_NIEZNANY
2015_PL_demonstracja_NIEZNANY,2015_PL_demonstracja_NIEZNANY_a
2015_PL_demonstracja_NIEZNANY,2015_PL_demonstracja_NIEZNANY_b
2018_PL_demonstracja_NIEZNANY,2018_PL_demonstracja_NIEZNANY
2018_PL_demonstracja_NIEZNANY,2018_PL_demonstracja_NIEZNANY_a
2018_PL_demonstracja_NIEZNANY,2018_PL_demonstracja_NIEZNANY_b
2019_PL_demonstracja_NIEZNANY,2019_PL_demonstracja_NIEZNANY
2019_PL_demonstracja_NIEZNANY,2019_PL_demonstracja_NIEZNANY_a
2019_PL_demonstracja_NIEZNANY,2019_PL_demonstracja_NIEZNANY_b
2005_PL_festyn_NIEZNANY,2005_PL_festyn_NIEZNANY
2005_PL_festyn_NIEZNANY,2005_PL_festyn_NIEZNANY_a
1997_PL_kontra_Liga-Republikanska,1997_PL_kontra_Liga-Republikanska
1997_PL_kontra_Liga-Republikanska,1997_PL_kontra_Liga-Republikanska_a
2000_PL_kontra_NIEZNANY,2000_PL_kontra_NIEZNANY
2000_PL_kontra_NIEZNANY,2000_PL_kontra_NIEZNANY_a
2007_PL_kontra_NIEZNANY,2007_PL_kontra_NIEZNANY
2007_PL_kontra_NIEZNANY,2007_PL_kontra_NIEZNANY_a
2019_PL_festyn_NIEZNANY,2019_PL_festyn_NIEZNANY
2019_PL_festyn_NIEZNANY,2019_PL_festyn_NIEZNANY_a
2019_PL_festyn_NIEZNANY,2019_PL_festyn_NIEZNANY_b
