# Kandydaci wyciagnieci z artykulow w input/nd/. Przejrzyj,
# uzupelnij kolumne pewnosc i przenies dobre wiersze do
# input/dzielnicowe.tsv (kolumny sie zgadzaja, bez odniesienia).
rok	miasto	dzielnica	aktor	nazwa	godzina_od	godzina_do	miejsce	osoby	seria	pewnosc	zrodlo	odniesienie
1996	DE		PDS	(ND-Kollewe). Unter dem Motto „Höchste Zeit für neue Zeiten“ ruft der DGB von Berlin-Brandenburg zur 1.-Mai-Demonstration und zur Kundgebung um 11.30 Uhr vor dem Roten Rathaus. Ab Mittag beginnt auf dem Alex ein großes Volksfest	11:30		an dem sich auch die PDS unter der Losung „Gegen Sozialabbau und Ausgrenzung“ beteiligt. Aufgerufen haben der Arbeitslosenverband und das Ostdeutsche Kuratorium von Verbänden e. V.			do uzupelnienia: dzielnica	ND	files/24474/607735.mai-in-berlin-n-feiern-zentral-und-dezentral.html:25
1996	DE		DGB	Die Demonstrationszüge der Gewerkschaften beginnen 10 Uhr Treffpunkte: OTV-Haus	10:00		Engeldamm; IG Bau, Info-Box Potsdamer Platz; IG Metall-			do uzupelnienia: dzielnica	ND	files/24474/607735.mai-in-berlin-n-feiern-zentral-und-dezentral.html:26
1996	DE		DGB	Haus	12:30		Alte Jakobstraße; DGB, U-Bahnhof Oranienburger Tor; Graue Panther, Brandenburger Tor Die DAG führt einß eigene Mai-Kundgebung ab 12.30 Uhr im Palais am Funkturm durch.			do uzupelnienia: dzielnica	ND	files/24474/607735.mai-in-berlin-n-feiern-zentral-und-dezentral.html:27
1996	DE	Prenzlauer Berg		Von Kreuzberg und Mitte führen zwei Maizüge unter dem Motto „Revolutionäre 1. Mai-Demo“ zum Kollwitzplatz in Prenzlauer Berg - Beginn ist jeweils 13 Uhr auf dem Oranienplatz bzw am Rosa-Luxemburg-Platz	13:00					do uzupelnienia: aktor	ND	files/24474/607735.mai-in-berlin-n-feiern-zentral-und-dezentral.html:28
1996	DE	Hellersdorf		HELLERSDORF: Berliner und Brandenburger werden ab 10 Uhr im Boulevard Kastanienallee erwartet	10:00			Politikern kann man über die Länderfusion diskutieren. Stadträte; Abgeordnete stehen Rede; Antwort. Herrnann Kant; Gisela Steineckert signieren ihre Bücher.		do uzupelnienia: aktor	ND	files/24474/607735.mai-in-berlin-n-feiern-zentral-und-dezentral.html:31
1996	DE			Soziale Projekte	09:30		Vereine und Verbände laden an den Obersee ein. Ein Festumzug beginnt 9.30 Uhr am Lindencenter. Auf der Festwiese am See gibt es neben allerlei Kurzweil eine Talkrunde	Kommunalpoli-		do uzupelnienia: dzielnica, aktor	ND	files/24474/607735.mai-in-berlin-n-feiern-zentral-und-dezentral.html:33
1996	DE	Prenzlauer Berg		PRENZLAUER BERG: „Widerspenstig und lebendig“ soll es von 10-19 Uhr auf dem Humannplatz zugehen -	10:00	19:00		Livemusik; Fußballturnier; Ausstellungen; Infoständen; Kinderfest. Im Diskussionszelt stehen ab 13 Uhr interessante Themen an: Militarismus; deutsche Außenpolitik; Bündnis von unten statt Bündnis für Arbeit; Berliner Haushaltskürzungen als Teil der sozialpolitischen Krise; Abbau demokratischer Rechte.		do uzupelnienia: aktor	ND	files/24474/607735.mai-in-berlin-n-feiern-zentral-und-dezentral.html:35
1996	DE	Marzahn	PDS	MAFjZAHN: „Rot ist der Mai“ heißt t“; ab 13 Uhr bei der Maifete iri Alt-Marzahn. Für die Kinder	13:00		stehen Maibaumklettern, Kremserfahrten, Basteln und Spielen auf dem Programm. Für die Größeren signieien Schriftsteller ihre Bücher, gibt es Infostände. Bezirkspolitiker wie Bürgermeister-Harald Buttler und PDS-Fra'itionschef in der BW Norbert Lüdtke sowie Abgeordnete de$ Bezirkes im Berliner Parlament wie Dagmar Pohle und Margit Barth, dazu Margitta Mächtig, Kreistagsabgeordnete Um Barnim, stellen sich in zwei Gesprächs- und Diskussidnsrunden.			pewna	ND	files/24474/607735.mai-in-berlin-n-feiern-zentral-und-dezentral.html:36
1996	DE			Montag bis Freitag um 5 Uhr	05:00					do uzupelnienia: dzielnica, aktor	ND	files/24474/607735.mai-in-berlin-n-feiern-zentral-und-dezentral.html:65
1992	DE		DGB	(ND). Das Angebot ist vielseitig für all jene	10:00		die nach den Kundgebungen am 1. Mai nicht einfach so nach Hause gehen, sondern	Familie oder Freunden den Tag erleben wollen. Zur Erinnerung: Für 10 Uhr haben die Kritischen Gewerkschafterinnen auf den Alexanderplatz zu einem Zug der Widerspenstigen aus Ost; West unter dem Motto „Alles was uns fehlt; ist die Solidarität“ eingeladen. Um 11 Uhr wird sich auch dieser Zug zur großen Maikundgebung des DGB im Lustgarten einfinden; die entgegen der Meinung der Kritischen Gewerkschafter das Motto trägt: „Solidarität verbindet“.		do uzupelnienia: dzielnica	ND	files/29419/355580.talk-tanz-fruehlings-und-familienfest.html:25
1992	DE	Pankow	PDS	Schön heute heißt es ab 18 Uhr im Haus der PDS Pankow	18:00		Breite Straße 48, „Talk und Tanz in den 1. Mai“. Die Besucher erwartet ein Gespräch	PDS-Kandidatinnen sowie mit Kerstin Kaiser; Andr§ Brie. Ebenfalls heute abend (19		pewna	ND	files/29419/355580.talk-tanz-fruehlings-und-familienfest.html:26
1992	DE	Treptow	PDS	Uhr) ist im Wedding (Weddingstra-ße 6) ein Links-Treff	19:00			der PDS-Fraktionsvorsitzenden Gesine Lötzsch zum Thema „Entscheiden müssen die Betroffenen - PDS Berlin stellt ein Selbstverwaltungsgesetz vor“ angesagt. In Treptow findet heute ab 19 Uhr im Klub der AG Junge Genossinnen in der Grünauer Straße 7 eine Mai-Fete statt.		pewna	ND	files/29419/355580.talk-tanz-fruehlings-und-familienfest.html:27
1992	DE	Weißensee	PDS	Morgen lädt ab 12 Uhr das Haus Am Köllnischen Park zu einem großen Familienfest ein	12:00		14 Uhr startet in Weißensee in der Parkstraße 23 ein Frühlingsfest, ebenso auf der Köpenicker Schloßinsel. Kiezfeste	Gregor Gysi finden am Nachmittag in Alt-Marzahn; Hellersdorf statt. Familiennachmittag ist ab 16 Uhr auch in der „Pankgräfin“ in Pankow gemeinsam mit PDS-Kandidaten		pewna	ND	files/29419/355580.talk-tanz-fruehlings-und-familienfest.html:28
1992	DE	Treptow	PDS	angesagt. In Treptow laden ab 14 Uhr gleich zwei Maifeiern ein: Im Johannisthaler Springbornclub (Springbornstraße) und im Gerard-Philippe-Klub (Karl-Kunger-Stra-ße). Ab 16 Uhr findet im Haus der PDS Pankow.(Breite Straße 48) ein Forum zu aktuellen Fragen der Politik	14:00			dem PDS-Ehrenvorsitzenden Hans Modrow; Mitglied des Bundestages; statt.		pewna	ND	files/29419/355580.talk-tanz-fruehlings-und-familienfest.html:29
1992	DE			Montag bis Freitag um 5 Uhr	05:00					do uzupelnienia: dzielnica, aktor	ND	files/29419/355580.talk-tanz-fruehlings-und-familienfest.html:58
2018	DE	Treptow-Köpenick	Die Linke	DGB-Maidemonstration	10:00			Katina Schubert; Klaus Lederer; Elke Breitenbach; Udo Wolf; Carola Bluhm; Gesine Lötzsch; Pascal Meiser; Petra Pau 12 Uhr: DGB Kundgebung am Brandenburger Tor; auf der Bühne u.a. Elke Breitenbach 11 bis 17 Uhr: Familienfest »Bunte Platte« in Hohenschönhausen; Falkenberger Chaussee/ Vincent-van-Gogh-Straße; u.a. mit Michael Grunst; Gesine Lötzsch 11 bis 18 Uhr: Markt am Rathaus Lichtenberg; Frankfurter Allee/Möllendorffstraße; u.a. mit Gesine Lötzsch 13 bis 18.30 Uhr: Fest an der Bötzow-Eiche; u.a. mit Katina Schubert; Pascal Meiser; Klaus Lederer; Elke Breitenbach; Petra Pau; Stefan Liebich 13 bis 18 Uhr: 1. Mai Fest DIE LINKE. Treptow-Köpenick; Schlossplatz; Altstadt Köpenick; u.a. mit Petra Pau; Klaus Lederer; Katina Schubert 13 bis 22 Uhr: 1. Mai Fest auf dem Mariannenplatz Kreuzberg; u.a. mit Katina Schubert; Petra Pau; Pascal Meiser		pewna	ND	files/29426/index.html:15
2018	DE			Öffnungszeiten: Montag – Donnerstag	10:00	16:00	10:00 – 16:00 Uhr			do uzupelnienia: dzielnica, aktor	ND	files/29426/index.html:60
1993	DE	Friedrichshain	PDS	(ND). Wohin am 1. Mai? Die Frage ist sicher nicht einfach zu beantworten angesichts der vielen Angebote. Selbstredend sollte man ab 14 Uhr beim „Neuen Deutschland“ vorbeischauen	14:00		denn in Innenhof, Foyer und Verlagsgebäude am Franz-Mehring-Platz feiern und diskutieren ND und die PDS Friedrichshain	Lesern; Freunden; Gästen.		pewna	ND	files/29428/416883.feiern-nach-der-mai-demo-ndash-was-ist-wo-los.html:24
1993	DE		DGB	Davor allerdings steht das „Offizielle“	11:00		die Kundgebung des DGB um 11 Uhr im Lustgarten. Den Weg dorthin nehmen vier Demonstrationszüge: die der Gewerkschaften beginnen 9 Uhr ÖTV-Haus, 9.30 Uhr IG-Metall-Haus und 10 Uhr Gewerkschaftshaus. Der			do uzupelnienia: dzielnica	ND	files/29428/416883.feiern-nach-der-mai-demo-ndash-was-ist-wo-los.html:25
1993	DE	Kreuzberg		„Zug der Widerspenstigen formiert sich nach einer Auftaktkundgebung um 9.30 Uhr auf dem Rosa-Luxemburg-Platz. Die „Revolutionäre 1.-Mai-Demo“ beginnt traditionell 13 Uhr am Kreuzberger Oranienplatz	09:30					do uzupelnienia: aktor	ND	files/29428/416883.feiern-nach-der-mai-demo-ndash-was-ist-wo-los.html:26
1993	DE			Zu einem Hof-Info-Fest lädt die DAG ab 12 Uhr in die Blissestraße 2-6 (U-Bahn Blissestr.) ein	12:00					do uzupelnienia: dzielnica, aktor	ND	files/29428/416883.feiern-nach-der-mai-demo-ndash-was-ist-wo-los.html:28
