seria,dzielnica,aktor,od_roku,do_roku,edycja_znana,dowod
1. Mai Fest Köpenick,Köpenick,PDS / Die Linke,1991,2019,2009=18,"1991-2019. Zrodlo z 2009 nazywa impreze 18. edycja, a od 1991 do 2009 jest 19 lat kalendarzowych -- w jednym roku festynu nie bylo. Opisy 1991-1994, 1997, 2000, 2005, 2007-2019 z przerwami. Miejsce: Schönbörse (1991), Schloßinsel (1992), Luisenhain (1993-2000), Frauentog / Schlossplatz (2005+)"
Rot ist der Mai / Alt-Marzahn,Marzahn,PDS,1991,2000,,"opisy 1991-1993, 1996, 1997, 2000; zawsze przy Geschäftsstelle Alt-Marzahn 64"
Maifest Boulevard Kastanienallee,Hellersdorf,PDS / Volkssolidarität,1991,1998,,"opisy 1991, 1993, 1996, 1997, 1998; 1991 i 1993 pod tym samym adresem Kastanienallee 6/8"
Maifest am Obersee,Hohenschönhausen,PDS / Aktionsbündnis,1994,2003,,"opisy 1994, 1996, 1997, 2000, 2003; w 1994 organizuje Aktionsbündnis für Soziale Verantwortung (20 stowarzyszen, kandydaci czterech partii), pozniej PDS"
Humannplatz Prenzlauer Berg,Prenzlauer Berg,Bündnis linker Gruppen / PDS,1995,2003,2001=7,"Zalozony w 1995 przez koalicje grup lewicowych, zeby ozywic 1 maja we wschodniej czesci miasta ""jenseits von traditionellen Massenaufläufen und revolutionärer Verbalrhetorik"" i z dala od Kollwitzplatz. Zrodlo z 2001 nazywa go 7. Humannplatz-Fest, co od 1995 zgadza sie co do roku. Koniec w 2003: w kwietniu 2004 komitet oglosil ""Wir haben keine Lust mehr"" -- polityczna tresc festynu zanikla, a sam festyn mial coraz wiecej ludzi i ani razu nie skonczyl sie przemoca (ND 28.04.2004). Cykl kompletny: opisana kazda z dziewieciu edycji 1995-2003. Zgadza sie to z ND 28.04.2004, ktory pisze o konstatacji komitetu ""neun Jahre später"""
Maifest Springbornclub Johannisthal,Treptow,PDS / Die Linke,1992,2019,2007=16;2011=20;2014=23;2015=24;2016=25,"numeracja z blättchen domyka sie na 1992: 16. edycja w 2007, 20. w 2011, 23. w 2014, 24. w 2015, 25. w 2016 -- kazda wskazuje na pierwsza w 1992, czyli na rok, z ktorego mam najstarszy opis. Opisy 1992, 1993, 2000, 2005, 2007, 2009-2012, 2014-2017"
Mariannenplatzfest,Kreuzberg,PDS / Die Linke,1997,2019,,"pierwsza edycja 1997 potwierdzona wprost: ND 30.04.1997 wymienia Mariannenplatz 15-21 wsrod festynow PDS w dzielnicach, a retrospekcja Linke z 2007 (""Zehn Jahre Mariannenplatzfest"") datuje poczatek na 1997 i mowi o frekwencji do 20 tys. Opisy 1997, 2000, 2005, 2012, 2017, 2018, 2019"
Fest an der Bötzow-Eiche,Prenzlauer Berg,PDS / Die Linke,1990,2019,2004=15,"zrodlo z 2004 nazywa impreze ""15. Kiezfest an der Bötzow-Eiche"", co stawia pierwsza edycje w 1990; opisy 2000, 2004, 2005, 2007-2013, 2015, 2017-2019. Edycje 1990-1999 bez opisu"
Maifest Hohenschönhausen (Falkenberger Chaussee),Hohenschönhausen,PDS / Die Linke,2005,2019,,"opisy 2005, 2006, 2007, 2010, 2012, 2013, 2015, 2017, 2018, 2019; Berliner Morgenpost 2010 pisze o ""jährlich stattfindenden Stadtteilfest"", wiec cykl jest starszy niz 2005 -- poczatek do ustalenia. Od 2007 lokalizowany przy Warnitzer Bogen"
Markt am Rathaus Lichtenberg,Lichtenberg,PDS / Die Linke,2006,2019,,"opisy 2006, 2010, 2012, 2017, 2018, 2019; w latach 2010-2012 pod nazwa Sportfest »Der Gewalt einen Korb geben«, w 2019 jako Spectaculum am lichten Berg -- to samo miejsce przy Rathaus Lichtenberg"
1. Mai-Fest Cecilienplatz,Hellersdorf,Die Linke,2016,2017,,"potwierdzony w 2016 i 2017 (newslettery Die Linke Berlin); nie wiadomo, czy cykl trwal dluzej"
Maifest im ND-Haus Friedrichshain,Friedrichshain,PDS,1993,1994,,"opisy 1993 (ND i PDS Friedrichshain) i 1994 (PDS Friedrichshain i Lichtenberg), oba na Franz-Mehring-Platz"
Maifeier am Orankebad,Hohenschönhausen,SPD,1994,1995,,"opisy 1994 i 1995, oba 14:00-18:00 przy Orankebad"
