rok,miasto,aktor,wydarzenie,liczba,zrodlo,kategoria,plik_zrodlowy
1988,DE,R1M,demonstracja wspolna,7000,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1989,DE,R1M,demonstracja wspolna,10000,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1990,DE,DGB,demonstracja,60000,Junge Welt,prasa,FrekwencjaDGB15.xlsx#Dane
1990,DE,DGB,demonstracja,60000,Neues Deutschland,prasa,FrekwencjaDGB15.xlsx#Dane
1990,DE,DGB,demonstracja,50000,TAZ,prasa,FrekwencjaDGB15.xlsx#Dane
1990,DE,PDS,demonstracja,16000,ND (demo Ost),prasa,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
1990,DE,PDS,demonstracja,15000,taz (demo Ost),prasa,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
1990,DE,R1M,demonstracja wspolna,10000,"(police, Gluckspilz)",policja,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1990,DE,R1M,demonstracja wspolna,15000,"(organisers, Gluckspilz)",organizatorzy,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1991,DE,DGB,demonstracja,10000,rbb,prasa,FrekwencjaDGB15.xlsx#Dane
1991,DE,DGB,demonstracja,5000,"""mehrere Tausend"" (taz)",prasa,FrekwencjaDGB15.xlsx#Dane
1991,DE,DGB,demonstracja,15000,"Christine Bretz, DGB Berlin (taz)",organizatorzy,FrekwencjaDGB15.xlsx#Dane
1991,DE,R1M,demonstracja wspolna,10000,Gluckspilz,,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1991,DE,R1M,demonstracja wspolna,8000,Gluckspilz,policja,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1991,DE,R1M,demonstracja wspolna,20000,Gluckspilz,organizatorzy,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1992,DE,Antifa,kontrdemonstracja,200,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Antinazi
1992,DE,DGB,demonstracja,8000,Kronika Berlina,policja,FrekwencjaDGB15.xlsx#Dane
1992,DE,DGB,demonstracja,15000,Berliner Morgenpost DGBG657,prasa,FrekwencjaDGB15.xlsx#Dane
1992,DE,DGB,demonstracja,40000,Neues Deutschland (Kritische Gewerkschaften s.71),prasa,FrekwencjaDGB15.xlsx#Dane
1992,DE,DGB,demonstracja,25000,DGBG000656,organizatorzy,FrekwencjaDGB15.xlsx#Dane
1992,DE,DGB,demonstracja,10000,rbb,prasa,FrekwencjaDGB15.xlsx#Dane
1992,DE,DGB,demonstracja,40000,Berliner Zeitung 2.05.1992,prasa,FrekwencjaDGB15.xlsx#Dane
1992,DE,NPD,demonstracja,50,taz,prasa,FrekwencjaDGB15.xlsx#Dane_Nazi
1992,DE,PDS,demonstracja,6000,Zug der Widerspensigsten (JW),prasa,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
1992,DE,R1M,demonstracja wspolna,12000,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1992,DE,R1M,demonstracja wspolna,9000,"policja, za rbb",policja,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1992,DE,R1M,demonstracja wspolna,15000,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1993,DE,DGB,demonstracja,15000,Taz 3.05,prasa,FrekwencjaDGB15.xlsx#Dane
1993,DE,DGB,demonstracja,30000,Neues Deutschland 3.05; Berliner Zeitung 3.05 za DGB,organizatorzy,FrekwencjaDGB15.xlsx#Dane
1993,DE,DGB,demonstracja,5000,rbb,prasa,FrekwencjaDGB15.xlsx#Dane
1993,DE,NPD,demonstracja,100,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Nazi
1993,DE,PDS,demonstracja,6000,ZdW (JW),prasa,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
1993,DE,R1M,demonstracja wspolna,5500,Gluckspilz,policja,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1993,DE,R1M,demonstracja wspolna,10000,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1994,DE,Antifa,kontrdemonstracja,400,taz,prasa,FrekwencjaDGB15.xlsx#Dane_Antinazi
1994,DE,Antifa,kontrdemonstracja,500,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Antinazi
1994,DE,DGB,demonstracja,5000,TAZ,prasa,FrekwencjaDGB15.xlsx#Dane
1994,DE,DGB,demonstracja,5000,rbb,prasa,FrekwencjaDGB15.xlsx#Dane
1994,DE,DGB,demonstracja,8000,DGBG664,organizatorzy,FrekwencjaDGB15.xlsx#Dane
1994,DE,NPD,demonstracja,5,Berliner Zeitung,prasa,FrekwencjaDGB15.xlsx#Dane_Nazi
1994,DE,PDS,demonstracja,1000,(Zug PDS) BZ,prasa,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
1994,DE,R1M,demonstracja wspolna,800,Berliner Zeitung,prasa,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1994,DE,R1M,demonstracja wspolna,1000,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1995,DE,DGB,demonstracja,5000,TAZ 2.05,prasa,FrekwencjaDGB15.xlsx#Dane
