rok,miasto,aktor,wydarzenie,n_odczytow,frekwencja_min,frekwencja_max,frekwencja_sr,frekwencja_mediana,fr_organizatorzy,fr_policja,fr_prasa,zrodla
1988,DE,R1M,demonstracja wspolna,1,7000,7000,7000,7000,,,7000,Gluckspilz
1989,DE,R1M,demonstracja wspolna,1,10000,10000,10000,10000,,,10000,Gluckspilz
1990,DE,DGB,demonstracja,3,50000,60000,56667,60000,,,56667,Junge Welt;Neues Deutschland;TAZ
1990,DE,PDS,demonstracja,2,15000,16000,15500,15500,,,15500,ND (demo Ost);taz (demo Ost)
1990,DE,R1M,demonstracja wspolna,2,10000,15000,12500,12500,15000,10000,,"(organisers, Gluckspilz);(police, Gluckspilz)"
1990,PL,OPZZ,demonstracja,4,5000,30000,14250,11000,,,,Gazeta Wyborcza;Rzeczpospolita;TPZ;Życie Warszawy
1991,DE,DGB,demonstracja,3,5000,15000,10000,10000,15000,,7500,"""mehrere Tausend"" (taz);Christine Bretz, DGB Berlin (taz);rbb"
1991,DE,R1M,demonstracja wspolna,3,8000,20000,12667,10000,20000,8000,,Gluckspilz
1991,PL,OPZZ,demonstracja,2,10000,15000,12500,12500,,,,Gazeta Wyborcza;Życie Warszawy
1992,DE,Antifa,kontrdemonstracja,1,200,200,200,200,,,200,Gluckspilz
1992,DE,DGB,demonstracja,6,8000,40000,23000,20000,25000,8000,26250,Berliner Morgenpost DGBG657;Berliner Zeitung 2.05.1992;DGBG000656;Kronika Berlina;Neues Deutschland (Kritische Gewerkschaften s.71);rbb
1992,DE,NPD,demonstracja,1,50,50,50,50,,,50,taz
1992,DE,PDS,demonstracja,1,6000,6000,6000,6000,,,6000,Zug der Widerspensigsten (JW)
1992,DE,R1M,demonstracja wspolna,3,9000,15000,12000,12000,,9000,13500,"Gluckspilz;policja, za rbb"
1992,PL,OPZZ,demonstracja,4,4000,47000,24000,22500,,,,Dziennik Trybuna;Gazeta Wyborcza;TPZ;Życie Warszawy
1993,DE,DGB,demonstracja,3,5000,30000,16667,15000,30000,,10000,Neues Deutschland 3.05; Berliner Zeitung 3.05 za DGB;Taz 3.05;rbb
1993,DE,NPD,demonstracja,1,100,100,100,100,,,100,Gluckspilz
1993,DE,PDS,demonstracja,1,6000,6000,6000,6000,,,6000,ZdW (JW)
1993,DE,R1M,demonstracja wspolna,2,5500,10000,7750,7750,,5500,10000,Gluckspilz
1993,PL,OPZZ,demonstracja,2,3000,13000,8000,8000,,,,Dziennik Trybuna;Gazeta Wyborcza
1994,DE,Antifa,kontrdemonstracja,2,400,500,450,450,,,450,Gluckspilz;taz
1994,DE,DGB,demonstracja,3,5000,8000,6000,5000,8000,,5000,DGBG664;TAZ;rbb
1994,DE,NPD,demonstracja,1,5,5,5,5,,,5,Berliner Zeitung
1994,DE,PDS,demonstracja,1,1000,1000,1000,1000,,,1000,(Zug PDS) BZ
