plik,arkusz,wiersz,powod,wartosc
FrekwencjaDGB15.xlsx,Dane,5,brak liczby,'-'
FrekwencjaDGB15.xlsx,Dane,6,brak liczby,'-'
FrekwencjaDGB15.xlsx,Dane,97,brak liczby,None
FrekwencjaDGB15.xlsx,Dane,99,brak liczby,None
FrekwencjaDGB15.xlsx,Dane_Revo_joint,6,nieznana kategoria,Gluckspilz
FrekwencjaDGB15.xlsx,Dane_Antinazi,3,brak liczby,None
FrekwencjaDGB15.xlsx,Dane_Antinazi,21,brak liczby,None
FrekwencjaDGB15.xlsx,Dane_MyFest,5,brak liczby,None
FrekwencjaDGB15.xlsx,Dane_MyFest,25,rok nieliczbowy,'d'
FrekwencjaDGB15.xlsx,Dane_Mariannenplatz,2,brak liczby,None
FrekwencjaDGB15.xlsx,Dane_Mariannenplatz,4,brak liczby,None
FrekwencjaDGB15.xlsx,Dane_Mariannenplatz,7,brak liczby,None
FrekwencjaDGB15.xlsx,Dane_Mariannenplatz,9,brak liczby,None
FrekwencjaDGB15.xlsx,Dane_Mariannenplatz,10,brak liczby,None
FrekwencjaDGB15.xlsx,Dane_Mariannenplatz,11,brak liczby,None
FrekwencjaDGB15.xlsx,Dane_Mariannenplatz,12,brak liczby,None
FrekwencjaDGB15.xlsx,Dane_Mariannenplatz,13,brak liczby,None
FrekwencjaDGB15.xlsx,Dane_Mariannenplatz,14,brak liczby,None
FrekwencjaDGB15.xlsx,Dane_Mariannenplatz,15,brak liczby,None
FrekwencjaDGB15.xlsx,Dane_Mariannenplatz,16,brak liczby,None
FrekwencjaDGB15.xlsx,Dane_Mariannenplatz,17,brak liczby,None
FrekwencjaDGB15.xlsx,Dane_Mariannenplatz,18,brak liczby,None
FrekwencjaDGB15.xlsx,Dane_Mariannenplatz,19,brak liczby,None
FrekwencjaDGB15.xlsx,Dane_Mariannenplatz,20,brak liczby,None
FrekwencjaDGB15.xlsx,Dane_Mariannenplatz,21,brak liczby,None
FrekwencjaDGB15.xlsx,Dane_Mariannenplatz,22,brak liczby,None
FrekwencjaDGB15.xlsx,Dane_Ost_PDS,4,brak liczby,'-'
FrekwencjaDGB15.xlsx,Dane_Ost_PDS,8,brak liczby,'-'
