id_miejsca,nazwa,miasto,wspolrzedne,lata_uzycia,opis,zrodlo
DE_Points of Interest_0,Axel-Springer-Haus,DE,"52.507563,13.39809",1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019,2012 – **,umap_backup_1-mai-berlin_aktualna16.umap
DE_Points of Interest_1,Bundesverband Leiharbeit/Arbeitgeberverband Mittelständischer Personaldienstleister (AMP),DE,"52.5109178,13.3875522",2011,2011 – ,umap_backup_1-mai-berlin_aktualna16.umap
DE_Points of Interest_2,Bundesverband Zeitarbeit Personal-Dienstleistungen,DE,"52.508974,13.3899616",2011,2011 – point on the FAU Spaziergang,umap_backup_1-mai-berlin_aktualna16.umap
DE_Points of Interest_3,Federal Ministy of Labour and Social Affairs,DE,"52.5126664,13.3843762",2011,2011 – on route of FAU (Spaziergang),umap_backup_1-mai-berlin_aktualna16.umap
DE_Points of Interest_4,Gerhard-Hauptman Hochsule,DE,"52.49599,13.430389",2015,"Between 2012 and 2018 refugees squatted the empty building of a former high school in Kreuzberg. On 24th June, due to bad living conditions in the building, city authorities offered to move the dwellers to a different building. The group refugees who declined the offer were then supported by demonstrations, aiming to defend them from the looming eviction by the police. The site became a hotspot of protest  in the following years.

On May 1st 2015, R1M demonstration passed the buidling",umap_backup_1-mai-berlin_aktualna16.umap
DE_Points of Interest_5,Haus der Demokratie,DE,"52.51375940286752,13.391486406326296",1990;1991;1992;1993;1994;1995;1996;1997,,umap_backup_1-mai-berlin_aktualna16.umap
DE_Points of Interest_6,Haus der Deutschen Wirtschaft,DE,"52.5149552,13.4054999",2005,2005 – endpoint of FAU demonstration,umap_backup_1-mai-berlin_aktualna16.umap
DE_Points of Interest_7,Olympia Personaldienstleistungen GmbH,DE,"52.5271288,13.3859648",2011,2011 – Endpoint of FAU walk,umap_backup_1-mai-berlin_aktualna16.umap
DE_Points of Interest_8,Randstad Deutschland,DE,"52.5193389,13.3881827",2011,2011 – FAU route,umap_backup_1-mai-berlin_aktualna16.umap
DE_Points of Interest_9,Red City Hall,DE,"52.518271799999994,13.407830867048435",1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,"Rotes Rathaus (Red City Hall), Rathausstraße, Mitte.

1996: DGB Berlin main rally. ~20,000. DGB chief Schulte booed and pelted with tomatoes by BKG protesters against 'Bündnis für Arbeit'. (1996_DE; taz 2.05.1996)
1997: DGB Berlin main rally. ~5,000. PDS organises separate event here at 12:00 directly after. (1997_DE; taz 30.04.1997)
1998: DGB Berlin main rally. ~15,000–20,000. Live broadcast on SFB. (1998_DE)
1999: DGB Berlin main rally. ~10,000–15,000. First time jointly with DAG. (1999_DE)
2000: DGB Berlin main rally. ~12,000. (2000_DE)
2001: DGB Berlin main rally. ~10,000–25,000. (2001_DE)
2002: DGB Berlin main rally. ~7,000–25,000. First unified DGB demonstration (no Sternmarsch). (2002_DE)
2003: DGB Berlin main rally. ~4,000–20,000. PDS marches in DGB demo for first time. Traditional reception with Wowereit cancelled (protest against SPD senate). (2003_DE)
2004: DGB Berlin main rally. ~20,000–25,000. DGB-BB Vize Rissmann: 'Das ist die Wende'. (2004_DE; taz 2.05.2004)
2005: DGB Berlin main rally. ~12,000. (2005_DE)
2006 onwards: No longer main rally site — replaced by Brandenburger Tor. (2006_DE)

[Open in Obsidian by year: see individual year notes 1990_DE–2019_DE]",umap_backup_1-mai-berlin_aktualna16.umap
