rok,miasto,dzielnica,na_mapie,w_kronice,razem
1987,DE,Kreuzberg,1,0,1
1990,DE,Kreuzberg,3,0,3
1990,DE,Mitte,4,0,4
1990,DE,Prenzlauer Berg,1,0,1
1990,DE,Schöneberg,2,0,2
1990,DE,Tiergarten,2,0,2
1990,DE,Wilmersdorf,1,0,1
1991,DE,Charlottenburg,1,0,1
1991,DE,Hellersdorf,1,1,2
1991,DE,Hohenschönhausen,1,1,2
1991,DE,Kreuzberg,3,3,6
1991,DE,Köpenick,1,1,2
1991,DE,Marzahn,1,1,2
1991,DE,Mitte,2,0,2
1991,DE,Müggelheim,0,1,1
1991,DE,Prenzlauer Berg,2,1,3
1991,DE,Schöneberg,3,1,4
1991,DE,Tiergarten,2,0,2
1991,DE,Wilmersdorf,1,0,1
1992,DE,Charlottenburg,1,0,1
1992,DE,Hellersdorf,1,0,1
1992,DE,Kreuzberg,3,2,5
1992,DE,Köpenick,1,0,1
1992,DE,Marzahn,1,0,1
1992,DE,Mitte,4,1,5
1992,DE,Pankow,3,0,3
1992,DE,Prenzlauer Berg,3,4,7
1992,DE,Schöneberg,2,0,2
1992,DE,Treptow,3,0,3
1992,DE,Wedding,1,0,1
1992,DE,Weißensee,1,0,1
1993,DE,Charlottenburg,1,0,1
1993,DE,Friedrichsfelde,2,0,2
1993,DE,Friedrichshain,1,3,4
1993,DE,Hellersdorf,1,0,1
1993,DE,Kreuzberg,3,2,5
1993,DE,Köpenick,1,0,1
1993,DE,Marzahn,1,2,3
1993,DE,Mitte,5,1,6
1993,DE,Prenzlauer Berg,1,1,2
1993,DE,Schöneberg,1,0,1
1993,DE,Treptow,1,0,1
1993,DE,Weißensee,1,0,1
1993,DE,Wilmersdorf,1,0,1
1994,DE,Charlottenburg,1,0,1
1994,DE,Friedrichshain,2,2,4
1994,DE,Hohenschönhausen,2,1,3
1994,DE,Johannisthal,2,0,2
1994,DE,Kreuzberg,6,1,7
1994,DE,Köpenick,2,1,3
1994,DE,Mitte,6,0,6
1994,DE,Pankow,1,0,1
1994,DE,Prenzlauer Berg,1,1,2
1994,DE,Schöneberg,1,0,1
1994,DE,Spandau,1,1,2
1994,DE,Wilmersdorf,1,0,1
1995,DE,Buch,1,2,3
1995,DE,Hohenschönhausen,1,2,3
1995,DE,Kreuzberg,1,2,3
1995,DE,Köpenick,1,1,2
1995,DE,Lichtenberg,1,0,1
1995,DE,Mitte,5,3,8
1995,DE,Neukölln,1,0,1
1995,DE,Pankow,2,0,2
1995,DE,Prenzlauer Berg,2,0,2
1995,DE,Schöneberg,1,0,1
1995,DE,Treptow,1,0,1
1995,DE,Wedding,1,0,1
1995,DE,Wilmersdorf,1,0,1
1996,DE,Hellersdorf,1,0,1
1996,DE,Hohenschönhausen,1,0,1
1996,DE,Kreuzberg,2,1,3
1996,DE,Marzahn,2,0,2
1996,DE,Mitte,10,0,10
1996,DE,Prenzlauer Berg,2,8,10
1996,DE,Westend,1,0,1
1997,DE,Charlottenburg,1,0,1
1997,DE,Hellersdorf,1,0,1
1997,DE,Hohenschönhausen,1,0,1
1997,DE,Kreuzberg,3,2,5
1997,DE,Köpenick,1,0,1
1997,DE,Lichtenberg,1,0,1
1997,DE,Marzahn,1,0,1
1997,DE,Mitte,5,3,8
1997,DE,Pankow,1,1,2
1997,DE,Prenzlauer Berg,1,4,5
1997,DE,Reinickendorf,0,2,2
1997,DE,Tiergarten,1,0,1
1997,DE,Wannsee,0,1,1
1997,DE,Weißensee,1,0,1
1998,DE,Charlottenburg,1,0,1
1998,DE,Hellersdorf,1,0,1
1998,DE,Kreuzberg,2,3,5
1998,DE,Mitte,6,1,7
1998,DE,Prenzlauer Berg,3,2,5
1998,DE,Tempelhof,0,1,1
1999,DE,Kreuzberg,4,1,5
1999,DE,Mitte,5,0,5
1999,DE,Neukölln,1,0,1
1999,DE,Prenzlauer Berg,4,2,6
1999,DE,Schöneberg,0,1,1
2000,DE,Alt-Treptow,1,0,1
2000,DE,Hellersdorf,4,3,7
2000,DE,Hohenschönhausen,1,1,2
2000,DE,Kreuzberg,5,6,11
2000,DE,Köpenick,1,1,2
2000,DE,Marzahn,2,2,4
2000,DE,Mitte,6,2,8
2000,DE,Prenzlauer Berg,3,4,7
2000,DE,Tempelhof,0,1,1
2000,DE,Treptow,1,1,2
2001,DE,Charlottenburg,1,0,1
2001,DE,Friedrichshain,1,1,2
2001,DE,Hohenschönhausen,0,1,1
2001,DE,Kreuzberg,5,1,6
2001,DE,Mitte,5,2,7
2001,DE,Neu-Hohenschönhausen,1,0,1
2001,DE,Neukölln,2,0,2
2001,DE,Prenzlauer Berg,2,2,4
2002,DE,Buch,1,0,1
2002,DE,Hohenschönhausen,1,0,1
2002,DE,Kreuzberg,4,0,4
2002,DE,Köpenick,1,0,1
2002,DE,Marzahn,1,0,1
2002,DE,Mitte,5,1,6
2002,DE,Neu-Hohenschönhausen,4,0,4
2002,DE,Pankow,1,0,1
2002,DE,Prenzlauer Berg,3,0,3
2002,DE,Treptow,2,0,2
