rok,miasto,dzielnica,na_mapie,w_kronice,razem
1990,PL,Stary Żoliborz,2,0,2
1990,PL,Śródmieście Południowe,1,0,1
1990,PL,Śródmieście Północne,9,0,9
1990,PL,Żerań,1,0,1
1991,PL,Stary Żoliborz,2,0,2
1991,PL,Śródmieście Północne,7,0,7
1992,PL,Stary Żoliborz,2,0,2
1992,PL,Śródmieście Północne,5,0,5
1993,PL,Stary Żoliborz,2,0,2
1993,PL,Śródmieście Południowe,1,0,1
1993,PL,Śródmieście Północne,5,0,5
1994,PL,Stary Żoliborz,2,0,2
1994,PL,Śródmieście Południowe,1,0,1
1994,PL,Śródmieście Północne,7,0,7
1995,PL,Młociny,1,0,1
1995,PL,Stary Żoliborz,2,0,2
1995,PL,Śródmieście Południowe,1,0,1
1995,PL,Śródmieście Północne,7,0,7
1996,PL,Stary Żoliborz,2,0,2
1996,PL,Śródmieście Północne,8,0,8
1997,PL,Marymont-Potok,1,0,1
1997,PL,Stary Żoliborz,1,0,1
1997,PL,Śródmieście Południowe,1,0,1
1997,PL,Śródmieście Północne,9,0,9
1998,PL,Stary Żoliborz,2,0,2
1998,PL,Śródmieście Południowe,1,0,1
1998,PL,Śródmieście Północne,6,0,6
1999,PL,Stary Żoliborz,1,0,1
1999,PL,Śródmieście Południowe,1,0,1
1999,PL,Śródmieście Północne,6,0,6
2000,PL,Nowe Miasto,1,0,1
2000,PL,Stary Żoliborz,1,0,1
2000,PL,Śródmieście Południowe,1,0,1
2000,PL,Śródmieście Północne,6,0,6
2001,PL,Stary Żoliborz,1,0,1
2001,PL,Śródmieście Południowe,1,0,1
2001,PL,Śródmieście Północne,7,0,7
2002,PL,Stary Żoliborz,1,0,1
2002,PL,Śródmieście Północne,7,0,7
2003,PL,Stary Żoliborz,1,0,1
2003,PL,Śródmieście Południowe,1,0,1
2003,PL,Śródmieście Północne,7,0,7
2004,PL,Stary Żoliborz,1,0,1
2004,PL,Śródmieście Południowe,1,0,1
2004,PL,Śródmieście Północne,4,0,4
2005,PL,Mirów,1,0,1
2005,PL,Stary Żoliborz,1,0,1
2005,PL,Śródmieście Południowe,1,0,1
2005,PL,Śródmieście Północne,4,0,4
2006,PL,Stary Żoliborz,1,0,1
2006,PL,Śródmieście Południowe,1,0,1
2006,PL,Śródmieście Północne,2,0,2
2007,PL,Stary Żoliborz,2,0,2
2007,PL,Śródmieście Południowe,1,0,1
2007,PL,Śródmieście Północne,6,0,6
2008,PL,Stary Żoliborz,1,0,1
2008,PL,Ujazdów,1,0,1
2008,PL,Śródmieście Południowe,1,0,1
2008,PL,Śródmieście Północne,5,0,5
2009,PL,Solec,1,0,1
2009,PL,Stara Praga,1,0,1
2009,PL,Stary Żoliborz,1,0,1
2009,PL,Ujazdów,1,0,1
2009,PL,Śródmieście Południowe,2,0,2
2009,PL,Śródmieście Północne,3,0,3
2010,PL,Stary Żoliborz,1,0,1
2010,PL,Śródmieście Południowe,1,0,1
2010,PL,Śródmieście Północne,2,0,2
2011,PL,Stary Żoliborz,1,0,1
2011,PL,Śródmieście Północne,5,0,5
2012,PL,Stary Żoliborz,1,0,1
2012,PL,Ujazdów,1,0,1
2012,PL,Śródmieście Północne,5,0,5
2013,PL,Stary Żoliborz,1,0,1
2013,PL,Ujazdów,2,0,2
2013,PL,Śródmieście Północne,4,0,4
2014,PL,Stary Żoliborz,1,0,1
2014,PL,Ujazdów,2,0,2
2014,PL,Śródmieście Północne,6,0,6
2015,PL,Stary Żoliborz,1,0,1
2015,PL,Ujazdów,1,0,1
2015,PL,Śródmieście Północne,4,0,4
2016,PL,Stary Żoliborz,1,0,1
2016,PL,Ujazdów,1,0,1
2016,PL,Śródmieście Północne,4,0,4
2017,PL,Stary Żoliborz,1,0,1
2017,PL,Ujazdów,1,0,1
2017,PL,Śródmieście Północne,5,0,5
2018,PL,Stary Żoliborz,1,0,1
2018,PL,Ujazdów,1,0,1
2018,PL,Śródmieście Południowe,1,0,1
2018,PL,Śródmieście Północne,6,0,6
2019,PL,Nowe Miasto,1,0,1
2019,PL,Stary Żoliborz,1,0,1
2019,PL,Ujazdów,1,0,1
2019,PL,Śródmieście Południowe,3,0,3
2019,PL,Śródmieście Północne,5,0,5
