rok,wpisane,z_kroniki,wzmianki_o_fescie,na_mapie_poza_centrum,z_godzina,dzielnice,ocena
1987,0,0,0,1,0,,pusto
1988,0,0,0,0,0,,pusto
1989,0,0,0,0,0,,pusto
1990,0,0,0,7,0,,pusto
1991,0,7,7,5,7,Hellersdorf;Hohenschönhausen;Kreuzberg;Köpenick;Marzahn;Müggelheim;Prenzlauer Berg,jest
1992,12,2,0,9,14,Hellersdorf;Kreuzberg;Köpenick;Marzahn;Mitte;Pankow;Treptow;Wedding;Weißensee,jest
1993,7,1,5,8,8,Friedrichshain;Hellersdorf;Kreuzberg;Köpenick;Marzahn;Prenzlauer Berg;Treptow;Weißensee,jest
1994,8,0,6,12,8,Friedrichshain;Hohenschönhausen;Kreuzberg;Köpenick;Pankow;Prenzlauer Berg;Spandau,jest
1995,10,2,4,5,6,Buch;Hohenschönhausen;Köpenick;Lichtenberg;Mitte;Neukölln;Pankow;Prenzlauer Berg;Treptow;Wedding,jest
1996,4,0,11,6,4,Hellersdorf;Hohenschönhausen;Marzahn;Prenzlauer Berg,jest
1997,6,4,3,5,10,Hellersdorf;Hohenschönhausen;Kreuzberg;Köpenick;Lichtenberg;Marzahn;Pankow;Prenzlauer Berg;Reinickendorf;Wannsee;Weißensee,jest
1998,1,4,5,6,4,Hellersdorf;Kreuzberg;Prenzlauer Berg;Tempelhof,jest
1999,0,2,8,9,2,Kreuzberg;Prenzlauer Berg;Schöneberg,jest
2000,9,1,13,10,10,Hellersdorf;Hohenschönhausen;Kreuzberg;Köpenick;Marzahn;Prenzlauer Berg;Tempelhof;Treptow,jest
2001,0,1,3,12,1,Hohenschönhausen,jest
2002,0,0,0,8,0,,pusto
2003,2,3,5,5,4,Charlottenburg;Hohenschönhausen;Kreuzberg;Neukölln,jest
2004,1,7,3,5,8,Charlottenburg;Friedrichshain;Kreuzberg;Prenzlauer Berg,jest
2005,5,5,4,7,10,Friedrichshain;Hohenschönhausen;Kreuzberg;Köpenick;Prenzlauer Berg;Treptow,jest
2006,2,0,4,10,2,Hohenschönhausen;Lichtenberg,jest
2007,2,0,0,9,2,Hohenschönhausen;Prenzlauer Berg,cienko
2008,1,16,0,6,17,Biesdorf;Charlottenburg;Dahlem;Friedrichsfelde;Friedrichshain;Karlshorst;Kreuzberg;Lichterfelde;Mariendorf;Marzahn;Niederschöneweide;Oberschöneweide;Prenzlauer Berg;Reinickendorf;Treptow,jest
2009,1,2,2,8,3,Kreuzberg;Köpenick;Prenzlauer Berg,jest
2010,3,0,0,10,3,Hohenschönhausen;Lichtenberg;Prenzlauer Berg,cienko
2011,1,0,0,6,1,Prenzlauer Berg,cienko
2012,5,0,1,2,5,Hohenschönhausen;Kreuzberg;Lichtenberg;Prenzlauer Berg,jest
2013,3,0,1,5,1,Hohenschönhausen;Köpenick;Prenzlauer Berg,jest
2014,0,0,0,2,0,,pusto
2015,2,0,0,6,2,Hohenschönhausen;Prenzlauer Berg,cienko
2016,0,7,1,11,7,Friedrichshain-Kreuzberg;Lichtenberg;Neukölln;Pankow;Treptow;Treptow-Köpenick,jest
2017,7,3,3,6,10,Friedrichshain-Kreuzberg;Hellersdorf;Hohenschönhausen;Kreuzberg;Köpenick;Lichtenberg;Prenzlauer Berg;Treptow,jest
2018,5,1,0,3,6,Grunewald;Hohenschönhausen;Kreuzberg;Köpenick;Lichtenberg;Prenzlauer Berg,jest
2019,5,16,7,5,21,Gatow;Grunewald;Hellersdorf;Hohenschönhausen;Kreuzberg;Köpenick;Lichtenberg;Neukölln;Pankow;Prenzlauer Berg;Spandau;Steglitz-Zehlendorf;Tempelhof,jest
