rok,pl_liczba_wydarzen,pl_typy,pl_liczba_demonstracji,pl_liczba_upamietnien,pl_liczba_festynow,pl_czy_kontra,pl_demonstracje_piesze,pl_korso,pl_liczba_rewolucyjnych,pl_marsz_gwiazdzisty,pl_liczba_zwiazkowych,pl_liczba_prawicowych,pl_liczba_kontra,pl_liczba_wiecow,pl_liczba_happeningow,pl_liczba_spotkan,pl_liczba_koncertow,pl_liczba_poza_centrum,pl_liczba_dzielnicowych,pl_serie_dzielnicowe_czynne,pl_dzielnicowe_kronika,pl_frekwencja_suma,pl_frekwencja_maj1,pl_frekwencja_walpurgis,pl_frekwencja_npd_kontra,pl_frekwencja_zwiazkowa,pl_udzial_zwiazkowy,pl_liczba_aktorow,pl_aktorzy_nowi,pl_aktorzy_znikajacy,pl_wydarzenia_nowe,pl_wydarzenia_znikajace,pl_miejsce_wiecu,pl_miejsce_wiecu_zmienione,pl_trasa_glowna_zmieniona,pl_notatka,pl_frekwencja_anarchi,pl_frekwencja_fest_eu,pl_frekwencja_lew_alt,pl_frekwencja_opzz,pl_frekwencja_parada,pl_frekwencja_pps,pl_frekwencja_prawica,de_liczba_wydarzen,de_typy,de_liczba_demonstracji,de_liczba_upamietnien,de_liczba_festynow,de_czy_kontra,de_demonstracje_piesze,de_korso,de_liczba_rewolucyjnych,de_marsz_gwiazdzisty,de_liczba_zwiazkowych,de_liczba_prawicowych,de_liczba_kontra,de_liczba_wiecow,de_liczba_happeningow,de_liczba_spotkan,de_liczba_koncertow,de_liczba_poza_centrum,de_liczba_dzielnicowych,de_serie_dzielnicowe_czynne,de_dzielnicowe_kronika,de_frekwencja_suma,de_frekwencja_maj1,de_frekwencja_walpurgis,de_frekwencja_npd_kontra,de_frekwencja_zwiazkowa,de_udzial_zwiazkowy,de_liczba_aktorow,de_aktorzy_nowi,de_aktorzy_znikajacy,de_wydarzenia_nowe,de_wydarzenia_znikajace,de_miejsce_wiecu,de_miejsce_wiecu_zmienione,de_trasa_glowna_zmieniona,de_notatka,de_frekwencja_antinazi,de_frekwencja_dgb,de_frekwencja_euro,de_frekwencja_marian,de_frekwencja_myfest,de_frekwencja_nazi,de_frekwencja_pds_a,de_frekwencja_pds_u,de_frekwencja_revo13,de_frekwencja_revo18,de_frekwencja_revo_j,de_frekwencja_repo,de_policja_sily,de_ranni_policjanci,de_zatrzymania_1maja,de_zatrzymania_walpurgis,de_zatrzymania_kontra
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,demonstracja:1,1,0,0,FALSE,0,0,1,,0,0,0,0,0,0,0,1,0,0,0,,,,,,,1,,,,,,,,obsidian://open?vault=Wszystko&file=1987_DE,,,,,,,,,,,,,400,245,56,0,0
1989,0,,0,0,0,FALSE,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,,,,,0,,,,,,,,obsidian://open?vault=Wszystko&file=1989_PL,,,,,,,,0,,0,0,0,FALSE,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,obsidian://open?vault=Wszystko&file=1989_DE,,,,,,,,,,,,,1600,346,20,0,0
1990,14,demonstracja:4;festyn:1;kontra:1;spotkanie:3;upamiętnienie:4;wiec:1,4,4,1,TRUE,3,0,0,FALSE,3,2,1,1,0,3,0,4,0,,0,14550,14550,,,14250,0.979,11,,,,,plac Teatralny,,,obsidian://open?vault=Wszystko&file=1990_PL,50,,250,14250,,,,13,demonstracja:7;festyn:4;wiec:2,7,0,4,FALSE,7,0,2,FALSE,7,0,0,2,0,0,0,7,0,0,0,84667,84667,,,72167,0.852,6,,,,,Platz der Republik,,,obsidian://open?vault=Wszystko&file=1990_DE,,56667,,,,,,15500,,,12500,12500,6000,230,140,0,0
1991,9,demonstracja:5;kontra:1;upamiętnienie:3,5,3,0,TRUE,3,0,0,FALSE,2,1,1,0,0,0,0,2,0,,0,12730,12730,,,12500,0.982,6,,PPS-RD/PPS-TKK/Anarchist;Prezydent;Prezydent RP;SdRP;Trybuna Ludu,1991_PL_demonstracja_PPS-linestring,1990_PL_demonstracja_PPS-RD-PPS-TKK-Anarchist;1990_PL_festyn_Trybuna-Ludu;1990_PL_spotkanie_Prawica;1990_PL_spotkanie_Prezydent-Wizyta-Wojciecha-Jaruzelskiego-w-elektro;1990_PL_spotkanie_SdRP;1990_PL_upamiętnienie_Prezydent-RP-Brama-Stracen;1990_PL_wiec_Solidarnosc,plac Teatralny,FALSE,TRUE,obsidian://open?vault=Wszystko&file=1991_PL,30,,,12500,,200,,9,demonstracja:6;festyn:2;wiec:1,6,0,2,FALSE,6,0,1,FALSE,6,0,0,1,0,0,0,5,0,0,7,22667,22667,,,10000,0.441,5,,East_Autonomen,,1990_DE_demonstracja_East-Autonomen;1990_DE_festyn_R1M;1990_DE_festyn_Walpurgisnacht-Walpurgisnacht,Platz der Republik,FALSE,,obsidian://open?vault=Wszystko&file=1991_DE,,10000,,,,,,,,,12667,12667,4500,87,181,0,0
1992,7,demonstracja:3;kontra:1;upamiętnienie:3,3,3,0,TRUE,2,0,0,FALSE,2,1,1,0,0,0,0,2,0,,0,24200,24200,,,24000,0.992,6,UP_OPZZ_SdRP,Anarchiści,1992_PL_upamiętnienie_UP-OPZZ-SdRP-Brama-Stracen,1991_PL_demonstracja_Anarchisci,plac Teatralny,FALSE,FALSE,obsidian://open?vault=Wszystko&file=1992_PL,,,,24000,,200,,24,demonstracja:10;festyn:14,10,0,14,FALSE,8,0,1,FALSE,5,1,1,0,0,0,0,21,12,3,2,42750,42500,,250,29000,0.678,9,BKG;East_Autonomen;FAP;LSBT Gruppen,,1992_DE_demonstracja_BKG;1992_DE_demonstracja_East-Autonomen;1992_DE_demonstracja_FAP;1992_DE_demonstracja_PDS;1992_DE_festyn_LSBT-Gruppen-LSBT-Fest,1991_DE_wiec_DGB,Lustgarten,TRUE,,obsidian://open?vault=Wszystko&file=1992_DE,200,23000,,,,50,,6000,,,13500,13500,5000,127,294,0,0
1993,9,demonstracja:3;festyn:1;kontra:1;upamiętnienie:4,3,4,1,TRUE,2,0,0,FALSE,2,1,1,0,0,0,0,3,0,,0,8000,8000,,,8000,1.0,8,SLD_OPZZ;SdRP;Unia Pracy,UP_OPZZ_SdRP,1993_PL_festyn_SdRP;1993_PL_upamiętnienie_SLD-OPZZ-Brama-Stracen;1993_PL_upamiętnienie_Unia-Pracy-Brama-Stracen,1992_PL_upamiętnienie_UP-OPZZ-SdRP-Brama-Stracen,plac Teatralny,FALSE,TRUE,obsidian://open?vault=Wszystko&file=1993_PL,,,,8000,,,,20,demonstracja:9;festyn:8;kontra:1;spotkanie:1;wiec:1,9,0,8,TRUE,6,0,2,FALSE,5,2,2,1,0,1,0,15,7,4,1,30517,30417,,100,22667,0.743,9,AWO;Antinazi Berlin;DAG,BKG;FAP;LSBT Gruppen,1993_DE_festyn_AWO;1993_DE_kontra_Antinazi-Berlin;1993_DE_spotkanie_PDS;1993_DE_wiec_DAG,1992_DE_demonstracja_BKG;1992_DE_demonstracja_FAP;1992_DE_festyn_LSBT-Gruppen-LSBT-Fest,Lustgarten,FALSE,,obsidian://open?vault=Wszystko&file=1993_DE,,16667,,,,100,,6000,,,7750,7750,4000,19,169,0,0
1994,11,demonstracja:3;festyn:1;happening:1;kontra:1;upamiętnienie:4;wiec:1,3,4,1,TRUE,2,0,0,FALSE,2,2,2,1,1,0,0,3,0,,0,3100,3100,,,3000,0.968,8,Liga Republikańska,SLD_OPZZ,1994_PL_happening_Liga-Republikanska;1994_PL_wiec_PPS-Pomnik-Kopernika,1993_PL_upamiętnienie_SLD-OPZZ-Brama-Stracen,plac Teatralny,FALSE,TRUE,obsidian://open?vault=Wszystko&file=1994_PL,,,,3000,,100,,18,demonstracja:10;festyn:4;kontra:1;wiec:3,10,0,4,TRUE,9,0,3,FALSE,6,2,2,3,0,0,0,12,0,4,6,8355,7900,,455,7000,0.838,9,Demokraten für Deutschland;FAP,AWO;East_Autonomen,1994_DE_demonstracja_Demokraten-fur-Deutschland-Demokraten-fur-Deutschland-Vollendung-de;1994_DE_demonstracja_FAP;1994_DE_festyn_R1M;1994_DE_wiec_PDS,1993_DE_demonstracja_East-Autonomen;1993_DE_festyn_AWO;1993_DE_spotkanie_PDS,Lustgarten,FALSE,,obsidian://open?vault=Wszystko&file=1994_DE,450,6000,,,,5,,1000,,,900,900,4000,34,139,0,0
1995,12,demonstracja:4;festyn:1;kontra:3;upamiętnienie:4,4,4,1,TRUE,3,0,0,FALSE,2,3,3,0,0,0,0,4,0,,0,5080,4980,,100,4500,0.886,11,Anarchiści;NZS;SLD_OPZZ;UP;UPR,Liga Republikańska;SdRP,1995_PL_demonstracja_Anarchisci;1995_PL_festyn_UP;1995_PL_kontra_NZS;1995_PL_kontra_UPR;1995_PL_upamiętnienie_SLD-OPZZ-Brama-Stracen,1994_PL_festyn_SdRP;1994_PL_happening_Liga-Republikanska;1994_PL_wiec_PPS-Pomnik-Kopernika,plac Teatralny,FALSE,TRUE,obsidian://open?vault=Wszystko&file=1995_PL,400,,,4500,,80,100,16,demonstracja:4;festyn:9;korso:1;wiec:2,4,0,9,FALSE,3,1,1,FALSE,5,0,0,2,0,0,0,11,6,5,4,9650,9650,,,7400,0.767,7,Antifa;SPD,Antinazi Berlin;Demokraten für Deutschland;FAP;IG Metall,1995_DE_festyn_Antifa;1995_DE_festyn_SPD-lichtenberg;1995_DE_korso_DGB;1995_DE_wiec_DGB,1994_DE_demonstracja_Demokraten-fur-Deutschland-Demokraten-fur-Deutschland-Vollendung-de;1994_DE_demonstracja_FAP;1994_DE_demonstracja_IG-Metall;1994_DE_demonstracja_PDS;1994_DE_festyn_R1M;1994_DE_kontra_Antinazi-Berlin;1994_DE_wiec_PDS,Köllnischer Park,TRUE,,obsidian://open?vault=Wszystko&file=1995_DE,,7400,,,,,,,,,2250,2250,,100,26,133,0
1996,11,demonstracja:4;festyn:1;kontra:1;upamiętnienie:4;wiec:1,4,4,1,TRUE,3,0,0,FALSE,2,1,1,1,0,0,0,3,0,,0,5100,5100,,,4500,0.882,8,Liga Republikańska;Prezydent,NZS;Prawica;SLD_OPZZ;UP;UPR,1996_PL_festyn_Prezydent;1996_PL_kontra_Liga-Republikanska;1996_PL_wiec_PPS-Pomnik-Kopernika,1995_PL_festyn_UP;1995_PL_kontra_NZS;1995_PL_kontra_Prawica;1995_PL_kontra_UPR;1995_PL_upamiętnienie_SLD-OPZZ-Brama-Stracen,plac Grzybowski,TRUE,TRUE,obsidian://open?vault=Wszystko&file=1996_PL,500,,,4500,,100,,20,demonstracja:11;festyn:7;wiec:2,11,0,7,FALSE,8,0,4,TRUE,6,1,1,2,0,0,0,10,4,6,0,32257,31867,,390,16667,0.517,10,DGB Jugend;Graue Panther;IG Metall;NPD;ÖTV,Antifa;SPD,1996_DE_demonstracja_DGB-Jugend;1996_DE_demonstracja_Graue-Panther-Graue-Panther;1996_DE_demonstracja_IG-Metall;1996_DE_demonstracja_NPD;1996_DE_demonstracja_OTV;1996_DE_festyn_Walpurgisnacht-Walpurgisnacht-at-Kollwitzplatz;1996_DE_wiec_PDS,1995_DE_festyn_Antifa;1995_DE_festyn_SPD-lichtenberg;1995_DE_korso_DGB;1995_DE_wiec_DGB,Rotes Rathaus,TRUE,,obsidian://open?vault=Wszystko&file=1996_DE,40,16667,,,,350,2200,,3000,10000,,13000,4500,48,176,25,0
1997,13,demonstracja:2;festyn:2;kontra:3;upamiętnienie:6,2,6,2,TRUE,2,0,0,FALSE,1,3,3,0,0,0,0,3,0,,0,2650,2650,,,2500,0.943,8,Prawica;SLD;UP,Anarchiści;OPZZ_SdRP;Solidarność,1997_PL_festyn_UP;1997_PL_kontra_Prawica;1997_PL_upamiętnienie_SLD-Brama-Stracen,1996_PL_demonstracja_Anarchisci;1996_PL_demonstracja_Solidarnosc;1996_PL_upamiętnienie_OPZZ-SdRP-Brama-Stracen;1996_PL_wiec_PPS-Pomnik-Kopernika,plac Grzybowski,FALSE,FALSE,obsidian://open?vault=Wszystko&file=1997_PL,,,,2500,,150,,17,demonstracja:6;festyn:9;wiec:2,6,0,9,FALSE,6,0,2,FALSE,5,0,0,2,0,0,0,11,6,7,4,27833,27833,,,9500,0.341,8,Obdachlose Initativen,DGB Jugend;Graue Panther;NPD,1997_DE_festyn_DAG;1997_DE_wiec_Obdachlose-Initativen-Obdachlose-Iniativen-Treffe,1996_DE_demonstracja_DGB-Jugend;1996_DE_demonstracja_Graue-Panther-Graue-Panther;1996_DE_demonstracja_NPD;1996_DE_festyn_Walpurgisnacht-Walpurgisnacht-at-Kollwitzplatz;1996_DE_wiec_DAG,Rotes Rathaus,FALSE,,obsidian://open?vault=Wszystko&file=1997_DE,,9500,,,,,7333,,2000,9000,,11000,5000,7,266,59,0
