rok,liczba_wydarzen,typy,liczba_demonstracji,liczba_upamietnien,liczba_festynow,czy_kontra,demonstracje_piesze,korso,liczba_rewolucyjnych,marsz_gwiazdzisty,liczba_zwiazkowych,liczba_prawicowych,liczba_kontra,liczba_wiecow,liczba_happeningow,liczba_spotkan,liczba_koncertow,liczba_poza_centrum,liczba_dzielnicowych,serie_dzielnicowe_czynne,dzielnicowe_kronika,frekwencja_suma,frekwencja_maj1,frekwencja_walpurgis,frekwencja_npd_kontra,frekwencja_zwiazkowa,udzial_zwiazkowy,liczba_aktorow,aktorzy_nowi,aktorzy_znikajacy,wydarzenia_nowe,wydarzenia_znikajace,miejsce_wiecu,miejsce_wiecu_zmienione,trasa_glowna_zmieniona,notatka,frekwencja_antinazi,frekwencja_dgb,frekwencja_euro,frekwencja_marian,frekwencja_myfest,frekwencja_nazi,frekwencja_pds_a,frekwencja_pds_u,frekwencja_revo13,frekwencja_revo18,frekwencja_revo_j,frekwencja_repo,policja_sily,ranni_policjanci,zatrzymania_1maja,zatrzymania_walpurgis,zatrzymania_kontra
1987,1,demonstracja:1,1,0,0,FALSE,0,0,1,,0,0,0,0,0,0,0,1,0,0,0,,,,,,,1,,,,,,,,obsidian://open?vault=Wszystko&file=1987_DE,,,,,,,,,,,,,400,245,56,0,0
1989,0,,0,0,0,FALSE,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,obsidian://open?vault=Wszystko&file=1989_DE,,,,,,,,,,,,,1600,346,20,0,0
1990,13,demonstracja:7;festyn:4;wiec:2,7,0,4,FALSE,7,0,2,FALSE,7,0,0,2,0,0,0,7,0,1,0,84667,84667,,,72167,0.852,6,,,,,Platz der Republik,,,obsidian://open?vault=Wszystko&file=1990_DE,,56667,,,,,,15500,,,12500,12500,6000,230,140,0,0
1991,18,demonstracja:6;festyn:10;spotkanie:1;wiec:1,6,0,10,FALSE,6,0,1,FALSE,6,0,0,1,0,1,0,14,9,4,2,22667,22667,,,10000,0.441,6,nieustalony,East_Autonomen,1991_DE_festyn_nieustalony-maifeier-auf-der-schonborse;1991_DE_spotkanie_nieustalony,1990_DE_demonstracja_East-Autonomen;1990_DE_festyn_R1M;1990_DE_festyn_Walpurgisnacht-Walpurgisnacht,Platz der Republik,FALSE,,obsidian://open?vault=Wszystko&file=1991_DE,,10000,,,,,,,,,12667,12667,4500,87,181,0,0
1992,24,demonstracja:10;festyn:14,10,0,14,FALSE,8,0,1,FALSE,5,1,1,0,0,0,0,21,12,5,2,42750,42500,,250,29000,0.678,9,BKG;East_Autonomen;FAP;LSBT Gruppen,nieustalony,1992_DE_demonstracja_BKG;1992_DE_demonstracja_East-Autonomen;1992_DE_demonstracja_FAP;1992_DE_demonstracja_PDS;1992_DE_festyn_LSBT-Gruppen-LSBT-Fest,1991_DE_festyn_nieustalony-maifeier-auf-der-schonborse;1991_DE_spotkanie_nieustalony;1991_DE_wiec_DGB,Lustgarten,TRUE,,obsidian://open?vault=Wszystko&file=1992_DE,200,23000,,,,50,,6000,,,13500,13500,5000,127,294,0,0
1993,20,demonstracja:9;festyn:8;kontra:1;spotkanie:1;wiec:1,9,0,8,TRUE,6,0,2,FALSE,5,2,2,1,0,1,0,15,7,6,1,30517,30417,,100,22667,0.743,9,AWO;Antinazi Berlin;DAG,BKG;FAP;LSBT Gruppen,1993_DE_festyn_AWO;1993_DE_kontra_Antinazi-Berlin;1993_DE_spotkanie_PDS;1993_DE_wiec_DAG,1992_DE_demonstracja_BKG;1992_DE_demonstracja_FAP;1992_DE_festyn_LSBT-Gruppen-LSBT-Fest,Lustgarten,FALSE,,obsidian://open?vault=Wszystko&file=1993_DE,,16667,,,,100,,6000,,,7750,7750,4000,19,169,0,0
1994,26,demonstracja:10;festyn:12;kontra:1;wiec:3,10,0,12,TRUE,9,0,3,FALSE,6,2,2,3,0,0,0,20,8,8,0,8355,7900,,455,7000,0.838,11,Aktionsbündnis für Soziale Verantwortung;Demokraten für Deutschland;FAP;SPD,AWO;East_Autonomen,1994_DE_demonstracja_Demokraten-fur-Deutschland-Demokraten-fur-Deutschland-Vollendung-de;1994_DE_demonstracja_FAP;1994_DE_festyn_Aktionsbundnis-fur-Soziale-Verantwortung;1994_DE_festyn_R1M;1994_DE_festyn_SPD-spandau;1994_DE_wiec_PDS,1993_DE_demonstracja_East-Autonomen;1993_DE_festyn_AWO;1993_DE_spotkanie_PDS,Lustgarten,FALSE,,obsidian://open?vault=Wszystko&file=1994_DE,450,6000,,,,5,,1000,,,900,900,4000,34,139,0,0
1995,20,demonstracja:4;festyn:13;korso:1;wiec:2,4,0,13,FALSE,3,1,1,FALSE,5,0,0,2,0,0,0,15,10,8,2,9650,9650,,,7400,0.767,7,Antifa,Aktionsbündnis für Soziale Verantwortung;Antinazi Berlin;Demokraten für Deutschland;FAP;IG Metall,1995_DE_festyn_Antifa;1995_DE_korso_DGB;1995_DE_wiec_DGB,1994_DE_demonstracja_Demokraten-fur-Deutschland-Demokraten-fur-Deutschland-Vollendung-de;1994_DE_demonstracja_FAP;1994_DE_demonstracja_IG-Metall;1994_DE_demonstracja_PDS;1994_DE_festyn_Aktionsbundnis-fur-Soziale-Verantwortung;1994_DE_festyn_R1M;1994_DE_kontra_Antinazi-Berlin;1994_DE_wiec_PDS,Köllnischer Park,TRUE,,obsidian://open?vault=Wszystko&file=1995_DE,,7400,,,,,,,,,2250,2250,,100,26,133,0
1996,20,demonstracja:11;festyn:7;wiec:2,11,0,7,FALSE,8,0,4,TRUE,6,1,1,2,0,0,0,10,4,7,0,32257,31867,,390,16667,0.517,10,DGB Jugend;Graue Panther;IG Metall;NPD;ÖTV,Antifa;SPD,1996_DE_demonstracja_DGB-Jugend;1996_DE_demonstracja_Graue-Panther-Graue-Panther;1996_DE_demonstracja_IG-Metall;1996_DE_demonstracja_NPD;1996_DE_demonstracja_OTV;1996_DE_festyn_Walpurgisnacht-Walpurgisnacht-at-Kollwitzplatz;1996_DE_wiec_PDS,1995_DE_festyn_Antifa;1995_DE_festyn_SPD;1995_DE_korso_DGB;1995_DE_wiec_DGB,Rotes Rathaus,TRUE,,obsidian://open?vault=Wszystko&file=1996_DE,40,16667,,,,350,2200,,3000,10000,,13000,4500,48,176,25,0
1997,17,demonstracja:6;festyn:9;wiec:2,6,0,9,FALSE,6,0,2,FALSE,5,0,0,2,0,0,0,11,6,8,4,27833,27833,,,9500,0.341,8,Obdachlose Initativen,DGB Jugend;Graue Panther;NPD,1997_DE_festyn_DAG;1997_DE_wiec_Obdachlose-Initativen-Obdachlose-Iniativen-Treffe,1996_DE_demonstracja_DGB-Jugend;1996_DE_demonstracja_Graue-Panther-Graue-Panther;1996_DE_demonstracja_NPD;1996_DE_festyn_Walpurgisnacht-Walpurgisnacht-at-Kollwitzplatz;1996_DE_wiec_DAG,Rotes Rathaus,FALSE,,obsidian://open?vault=Wszystko&file=1997_DE,,9500,,,,,7333,,2000,9000,,11000,5000,7,266,59,0
1998,13,demonstracja:9;festyn:3;wiec:1,9,0,3,FALSE,6,0,4,FALSE,4,0,0,1,0,0,0,7,1,8,4,30292,30292,,,13875,0.458,7,Volkssolidarität,DAG;Obdachlose Initativen,1998_DE_festyn_Volkssolidaritat,1997_DE_festyn_DAG;1997_DE_wiec_Obdachlose-Initativen-Obdachlose-Iniativen-Treffe,Rotes Rathaus,FALSE,,obsidian://open?vault=Wszystko&file=1998_DE,,13875,,1500,,,6500,,1750,6667,,8417,5000,145,379,28,0
