rok,liczba_wydarzen,typy,liczba_demonstracji,liczba_upamietnien,liczba_festynow,czy_kontra,demonstracje_piesze,korso,liczba_rewolucyjnych,marsz_gwiazdzisty,liczba_zwiazkowych,liczba_prawicowych,liczba_kontra,liczba_wiecow,liczba_happeningow,liczba_spotkan,liczba_koncertow,liczba_poza_centrum,liczba_dzielnicowych,dzielnicowe_kronika,frekwencja_suma,frekwencja_maj1,frekwencja_walpurgis,frekwencja_npd_kontra,frekwencja_zwiazkowa,udzial_zwiazkowy,liczba_aktorow,aktorzy_nowi,aktorzy_znikajacy,wydarzenia_nowe,wydarzenia_znikajace,miejsce_wiecu,miejsce_wiecu_zmienione,trasa_glowna_zmieniona,notatka,frekwencja_anarchi,frekwencja_fest_eu,frekwencja_lew_alt,frekwencja_opzz,frekwencja_parada,frekwencja_pps,frekwencja_prawica
1989,0,,0,0,0,FALSE,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,obsidian://open?vault=Wszystko&file=1989_PL,,,,,,,
1990,14,demonstracja:4;festyn:1;kontra:1;spotkanie:3;upamiętnienie:4;wiec:1,4,4,1,TRUE,3,0,0,FALSE,3,2,1,1,0,3,0,4,0,0,14550,14550,,,14250,0.979,11,,,,,plac Teatralny,,,obsidian://open?vault=Wszystko&file=1990_PL,50,,250,14250,,,
1991,9,demonstracja:5;kontra:1;upamiętnienie:3,5,3,0,TRUE,3,0,0,FALSE,2,1,1,0,0,0,0,2,0,0,12730,12730,,,12500,0.982,6,,PPS-RD/PPS-TKK/Anarchist;Prezydent;Prezydent RP;SdRP;Trybuna Ludu,1991_PL_demonstracja_PPS-linestring,1990_PL_demonstracja_PPS-RD-PPS-TKK-Anarchist;1990_PL_festyn_Trybuna-Ludu;1990_PL_spotkanie_Prawica;1990_PL_spotkanie_Prezydent-Wizyta-Wojciecha-Jaruzelskiego-w-elektro;1990_PL_spotkanie_SdRP;1990_PL_upamiętnienie_Prezydent-RP-Brama-Stracen;1990_PL_wiec_Solidarnosc,plac Teatralny,FALSE,TRUE,obsidian://open?vault=Wszystko&file=1991_PL,30,,,12500,,200,
1992,7,demonstracja:3;kontra:1;upamiętnienie:3,3,3,0,TRUE,2,0,0,FALSE,2,1,1,0,0,0,0,2,0,0,24200,24200,,,24000,0.992,6,UP_OPZZ_SdRP,Anarchiści,1992_PL_upamiętnienie_UP-OPZZ-SdRP-Brama-Stracen,1991_PL_demonstracja_Anarchisci,plac Teatralny,FALSE,FALSE,obsidian://open?vault=Wszystko&file=1992_PL,,,,24000,,200,
1993,9,demonstracja:3;festyn:1;kontra:1;upamiętnienie:4,3,4,1,TRUE,2,0,0,FALSE,2,1,1,0,0,0,0,3,0,0,8000,8000,,,8000,1.0,8,SLD_OPZZ;SdRP;Unia Pracy,UP_OPZZ_SdRP,1993_PL_festyn_SdRP;1993_PL_upamiętnienie_SLD-OPZZ-Brama-Stracen;1993_PL_upamiętnienie_Unia-Pracy-Brama-Stracen,1992_PL_upamiętnienie_UP-OPZZ-SdRP-Brama-Stracen,plac Teatralny,FALSE,TRUE,obsidian://open?vault=Wszystko&file=1993_PL,,,,8000,,,
1994,11,demonstracja:3;festyn:1;happening:1;kontra:1;upamiętnienie:4;wiec:1,3,4,1,TRUE,2,0,0,FALSE,2,2,2,1,1,0,0,3,0,0,3100,3100,,,3000,0.968,8,Liga Republikańska,SLD_OPZZ,1994_PL_happening_Liga-Republikanska;1994_PL_wiec_PPS-Pomnik-Kopernika,1993_PL_upamiętnienie_SLD-OPZZ-Brama-Stracen,plac Teatralny,FALSE,TRUE,obsidian://open?vault=Wszystko&file=1994_PL,,,,3000,,100,
1995,12,demonstracja:4;festyn:1;kontra:3;upamiętnienie:4,4,4,1,TRUE,3,0,0,FALSE,2,3,3,0,0,0,0,4,0,0,5080,4980,,100,4500,0.886,11,Anarchiści;NZS;SLD_OPZZ;UP;UPR,Liga Republikańska;SdRP,1995_PL_demonstracja_Anarchisci;1995_PL_festyn_UP;1995_PL_kontra_NZS;1995_PL_kontra_UPR;1995_PL_upamiętnienie_SLD-OPZZ-Brama-Stracen,1994_PL_festyn_SdRP;1994_PL_happening_Liga-Republikanska;1994_PL_wiec_PPS-Pomnik-Kopernika,plac Teatralny,FALSE,TRUE,obsidian://open?vault=Wszystko&file=1995_PL,400,,,4500,,80,100
1996,11,demonstracja:4;festyn:1;kontra:1;upamiętnienie:4;wiec:1,4,4,1,TRUE,3,0,0,FALSE,2,1,1,1,0,0,0,3,0,0,5100,5100,,,4500,0.882,8,Liga Republikańska;Prezydent,NZS;Prawica;SLD_OPZZ;UP;UPR,1996_PL_festyn_Prezydent;1996_PL_kontra_Liga-Republikanska;1996_PL_wiec_PPS-Pomnik-Kopernika,1995_PL_festyn_UP;1995_PL_kontra_NZS;1995_PL_kontra_Prawica;1995_PL_kontra_UPR;1995_PL_upamiętnienie_SLD-OPZZ-Brama-Stracen,plac Grzybowski,TRUE,TRUE,obsidian://open?vault=Wszystko&file=1996_PL,500,,,4500,,100,
1997,13,demonstracja:2;festyn:2;kontra:3;upamiętnienie:6,2,6,2,TRUE,2,0,0,FALSE,1,3,3,0,0,0,0,3,0,0,2650,2650,,,2500,0.943,8,Prawica;SLD;UP,Anarchiści;OPZZ_SdRP;Solidarność,1997_PL_festyn_UP;1997_PL_kontra_Prawica;1997_PL_upamiętnienie_SLD-Brama-Stracen,1996_PL_demonstracja_Anarchisci;1996_PL_demonstracja_Solidarnosc;1996_PL_upamiętnienie_OPZZ-SdRP-Brama-Stracen;1996_PL_wiec_PPS-Pomnik-Kopernika,plac Grzybowski,FALSE,FALSE,obsidian://open?vault=Wszystko&file=1997_PL,,,,2500,,150,
1998,10,demonstracja:3;festyn:1;happening:1;kontra:1;upamiętnienie:4,3,4,1,TRUE,2,0,0,,2,1,1,0,1,0,0,3,0,0,4150,4150,,,4000,0.964,8,Młodzi demokraci;SLD_OPZZ;Solidarność,Liga Republikańska;SLD;UP,1998_PL_demonstracja_Solidarnosc;1998_PL_happening_M-odzi-demokraci-Niebieska-Alternatywa-Kapitalizm-jest-li;1998_PL_upamiętnienie_SLD-OPZZ-Brama-Stracen,1997_PL_festyn_UP;1997_PL_kontra_Liga-Republikanska-point;1997_PL_upamiętnienie_SLD-Brama-Stracen,plac Grzybowski,FALSE,,obsidian://open?vault=Wszystko&file=1998_PL,,,,4000,,150,
