rok,miasto,Centralne_BB,Główna demonstracja,Kontekst,Rok,Temat,Związek,frekwencja_niemcy,frekwencja_niemcy_sr,plik,Źródła,Źródło
1989,PL,,,,1989,1. Maja,OPZZ,,,PL_1990-2019.md,"Życie Warszawy, Youtube, Związkowiec",
1990,PL,,,"Obchody 1 maja w roku 1990 są z perspektywy OPZZ dniem wyjątkowym – bo *po raz pierwszy w powojennej Polsce ludzie pracy w tym dniu wystąpią we własnym imieniu, w walce o swoje prawa*. Jest to jednocześnie setna rocznica samego święta. Jak wynika z relacji w Związkowcu, w tym roku obchody były w pewnym sensie spontaniczne. Doszło do zerwania z tradycjami rytuału państwowego, i powrotem do tego, jak pierwsze maje obchodzone były wcześniej.",1990,1. Maja,OPZZ,,,PL_1990-2019.md,"Gazeta Wyborcza, Tygodnik Związkowiec, Życie Warszawy, PKF",
1991,PL,,,,1991,1. Maja,OPZZ,,,PL_1990-2019.md,"Gazeta Wyborcza, Tygodnik Związkowiec",
1992,PL,,,,1992,1. Maja,OPZZ,,,PL_1990-2019.md,"Gazeta Wyborcza, Tygodnik Związkowiec, Życie Warszawy",
1993,PL,,,2 maja (poniedziałek) był dniem wolnym od pracy,1993,1. Maja,OPZZ,,,PL_1990-2019.md,"Gazeta Wyborcza, Tygodnik Związkowiec",
1994,PL,,,,1994,1. Maja,OPZZ,,,PL_1990-2019.md,"Gazeta Wyborcza, Tygodnik Związkowiec",
1995,PL,,,,1995,1. Maja,OPZZ,,,PL_1990-2019.md,"Gazeta Wyborcza, Tygodnik Związkowiec",
1996,PL,,,"Tegoroczone obchody pierwszomajowego święta są o tyle wyjątkowe, że zmienia się trasa pochodu – związane jest to z reorganizacją przestrzeni placu Teatralnego, w związku z którą odbudowany zostanie historyczny ratusz, a pomnik Nike – przeniesiony w inne miejsce (obecnie stoi bliżej trasy WZ). Nowym miejscem, w którym kończy się pochód jest plac Grzybowski, gdzie, jak czytamy w zaproszeniu, *po raz pierwszy w Warszawie odbyła się w 1904 roku 1. majowa demonstracja robotnicza [to nie prawda].* Stanisław Nowakowski we wstępniaku ""Co trwa, co się zmienia"" pisze o tej zmianie z pewnym żalem –*Pierwszomajowe pochody w Warszawie od OPZZ do Nike obrosły już pewną tradycją. Cóż, trzeba będzie ją zmienić. Wybrano niezbyt piękny Plac Grzybowski, bo na nim onegdaj, po raz pierwszy w stolicy, wówczas nieistniejącego państwa, robotnicy zamanifestowali swą wolę walki o własne prawa. Polała się polska krew w tłumionej przez carat manifestacji.*
>
>Nowakowski podkreśla jednak również fakt, że pewne rzeczy pozostaną te same – początek pochodu będzie w tym samym miejscu, i ponadto *pewnie, jak co roku, spod Kościoła św. Krzyża obrzucą uczestników pochodu obelgami zgromadzeni tam ""prawdziwi Polacy"".*
>
>W tym roku trasa pochodu będzie przechodziła obok hotelu Europejskiego, co jest zdaniem Nowakowskiego również symboliczne, bo przecież *idziemy do Europy.* Wątek ciekawy biorąc pod uwagę znaczenia święta po roku 2004.
>
>Podsumowuje to Nowakowski optymistycznie: *Zmieniają się trasy. Zmieniają nastroje. Dopóki jednak jest siła, która wyprowadza pochody 1 Maja, dopóty ludzie pracy mają szansę w rywalizacji o miejsce na ziemi z ludźmi kapitału.*
>
>O tym, że święto jest kojarzone z konkretnym stronnictwem politycznym, świadczyć może również brak Kwaśniewskiego, którego nieobecność tłumaczona jest stanowiskiem prezydenta, który w partyjnych wydarzeniach nie powinien brać udziału.
>
>Na uwagę zasługuje również grafika. Duża cyfra 1 nie ma czerwonego koloru – może i by miała, gdyby czasopismo było w kolorze, ciężko powiedzieć. Tym co wyróżnia ową jedynkę są kwiaty, które leżą przed nią/na niej. Czy jest to nawiązanie do wiosennego wymiaru święta majowego, celebracji budzącej się do życia przyrody, czy może również nawiązanie do tradycji obdarowywania pierwszego sekretarza kwiatami na pochodzie? (skłaniam się do pierwszej interpretacji)
>![[1996_NTP_1maja_okladka.jpg]]",1996,1. Maja,OPZZ,,,PL_1990-2019.md,"Gazeta Wyborcza, Tygodnik Związkowiec, Życie Warszawy",
1997,PL,,,,1997,1. Maja,OPZZ,,,PL_1990-2019.md,,
1998,PL,,,,1998,1. Maja,,,,PL_1990-2019.md,,
