rok,miasto,pole,tekst,plik
1990,PL,Wydarzenia_alt,"Pod Empikiem festyn organizowany przez Trybunę Ludu. Miller twierdzi, że to może być zalążek nowej tradycji, tam dyskusje, goście ze świata sportu (Władysław Komar) i polityki (Aleksander Kwaśniewski). Rozpoczyna się o 12, pierwsze pytanie w dyskusji brzmi *Jak być rodziną epoki Balcerowicza*, w której spierali się przedstawiciele Komitetu Obrony Praw Ojca z działaczkami Pro Feminy i Demokratycznej Unii Kobiet. *Bardzo szybko tematem numer jeden stała się przygotowywana za zamkniętymi drzwiami senatu ustawa o ochronie życia poczętego*. Następnie dyskusja z rolnikami, która się przedłużyła. Dyskusje na różne inne tematy, oprócz tego, równolegle zaczyna się w kawiarni Kaprys spotkanie z członkami partii socjaldemokratycznej
o 12 złożenie kwiatów na Cytdaeli pod Bramą Straceń przez uczestników pochodu
****",PL_1990-2019.md
1990,PL,Organizacje,"Ruch Ludzi Pracy, SdRP",PL_1990-2019.md
1990,PL,TVP,"1. nagranie przedstawia składanie kwiatów przez delegację wojskową, której częścią jest Wojciech Jaruzelski. Nie towarzyszą mu żadne sztandary, jedynie trzech mężczyzn w garniturach, najpewniej jego współpracowników. Następnie nagranie z Kongresu Nowej Prawicy w sali kongresowej, również odbywającego się 1 maja. Organizatorem jest Korwin-Mikke, ze swoim klasycznym przekazem. Pod Pałacem Kultury w śródmieskim pasażu Międzymiastówki anarchistycznej i Lewicy Rewolucyjnej, mało licznej. Ścierają się ze skinami chroniącymi kongresu, na transparentach hasła takie jak ""Ani Nomeklatura, Ani Prywata!
Sierpień 80"". Demonstranci negują ""wszystko i wszystkich"". Wywiązuje ię bójka. Potem bójka z kibicami ŁKS-u na Dworcu Centralnym. Solidarnosć zbiera się w kościele św. Stanisława Kostki, na placu Wilsona, całkiem duży tłum. Z kolei PPS (bardzo mała manifestacja w sumie) idzie z pl. Konstytrucji pod hstiryczną redakcję Robotnika. Wiec OPZZ i SdRP przechodzi, w rytm muzyki przygrywanej przez orkiestrę. Widać transparent ""Magdalenka urodziła nędzę"". Następnie kontrmanifestanci, młodzi starzy i w średnim wieku na schodach kościoła. Przemarsz kończy się pod pomnikiem Nike, gdzie dochodzi do uroczystego składania kwiatów przez delegację. Później spotkanie z Trybuną i pokaz karate przed Empikiem przy dzisiejszym rondzie de Gaulle'a.W kawiarni Kaprys spotkanie z przywódcami SdRP",PL_1990-2019.md
1990,PL,Apel,"W tym roku po raz setny robotnicy całego świata, a z nimi wszyscy ludzie żyjący z własnej pracy, obchodzić będą 1 Maja. Po raz pierwszy w powojennej Polsce ludzie pracy w tym dniu wystąpią we własnym imieniu, w walce o swoje prawa.

Polska podjęła wielkie reformy. Rozszerza się suwerenność naszego kraju a społeczeństwo odzyskuje podmiotowość. Jednak ciężary związane z polskimi przemianami są rozłożone nierówno. W głównej mierze obciążają ludzi pracy. Na to nie możemy się godzić. JESTEŚMY PRZECIWNI:
- bezrobociu,
- polityce gospodarczej prowadzącej do wzrostu cen i drastycznego spadku produkcji, szczególnie w działach konsumpcyjnych i rolnictwie,
- mieszkaniom tylko dla bogaczy,
- braku pracy dla młodzieży kończącej szkoły i uczelnie,- wyprzedaży za bezcen majątku narodowego.

Wzywamy wszystkie związki zawodowe, partie polityczne, stowarzyszenia i organizacje społeczne skupiające ludzi pracy do wspólnych wystąpień, we wspólnym interesie. Nikt bowiem, poza nami, nie będzie walczył o nasze sprawy.

Stare i nowe elity władzy nie zapewnią nam demokracji, w której możemy zyskać:
- pracę godziwie opłacaną,
- należny nam udział we własności państwowej,- rzeczywistą samorządność terytorialną i pracowniczą.

Zbyt wiele padło słów bez pokrycia. Zbyt wielu obietnic nie dotrzymano.Twórzmy zespoły, z udziałem zainteresowanych organizacji, przygotowujące – w różnych formach – obchody pierwszomajowe. Apelujemy o powszechne uczestnictwo w naszym święcie – Święcie Pracy.",PL_1990-2019.md
1990,PL,Frame_MayDay,"*Byłoby dziwne, gdyby związki zawodowe w obecnej sytuacji, gdy 67 proc. rodzin żyje poniżej minimum socjalnego, nie wystąpiły w ich obronie w sposób manifestacyjny. Właśnie 1 Maja. Moja propozycja dla L. Wałęsy, aby oba związki uczyniły to razem spotkała się z negatywną odpowiedzią* Alfred Miodowicz
O nowym charakterze obchodów pisano w Rzeczpospolitej (2-3 maja 1990) w ten sposób:
>Znak nowych czasów: obchody święta 1 maja zgromadziły w tym roku w Warszawie w pochodach i manifestacjach zaledwie kilkanaście tysięcy obywateli. Na ulicach było mniej czerwieni, a wcale trybun - więcej natomiast okazji do gorących rozmów o Polsce. Msza i spotkanie podczas mszy w kościele św. Stanisława Kostki na Żoliborzu przywiodły ok. 3 tys. osób, a także delegacje największych warszawskich zakładów pracy. (...) Na rogu Nowego Światu i Świętokrzyskiej grupa podpitych studentów Politechniki Warszawskiej kontestowała pochód OPZZ. Obwinięci czerwonymi szarfami i wymachujący czerwoną flagą młodzi ludzie nawoływali: >>Idźcie z Miodowiczem! Polska krajem Miodowiczem i mlekiem płynąca!<<""
OPZZ jest więc w okresie poszukiwania nowej tożsamości. Oznacza to dla organizacji potrzebę przemyślenia swojej tożsamości, i relacji, w jakich pozostaje z pozostałymi aktorami sceny politycznej. Dwóch kluczowych aktorów, wobec których określić musi się OPZZ to Solidarność i nowopowstała SdRP – partia powstała w styczniu 1990 roku, będąca kontynuatorem PZPR
Na przyszłość i rozpoczynające się reformy rada OPZZ zdaje się patrzeć z optymizmem – *rozszerza się suwerenność naszego kraju a społeczeństwo odzyskuje podmiotowość.* Jednocześnie OPZZ krytyczny wobec reform, ponieważ *ciężary związane z polskimi przemianami rozłożone są nierówno. W głównej mierze obciążają ludzi pracy. Na to nie możemy się zgodzić*. Demokratyzacja i suwerenizacja państwa traktowane są jako zjawiska pozytywne, przeciwstawiane polityce gospodarczej rządu, wobec której OPZZ zamierza tego dnia protestować. I tu powraca rama narodowa: przeciw *mieszkaniom dla bogaczy, wyprzedaży za bezcen majątku narodowego*.
Jednocześnie jeszcze w marcu 1990 nie jest jasne, w jaki sposób święto będzie rzeczywiście obchodzone, i jakie ma ono przyjąć znaczenie – ma być dniem święta i celebracji, czy raczej walki i protestu? Zapytany o szczegóły obchodów święta Alfred Miodowicz nie jest w stanie podać planu obchodów. ""Być może – powiedział Alfred Miodowicz – zorganizujemy na Woli rodzaj festynu. Pochodzimy sobie, wypijemy po piwie i to będzie nasze święto"" [[Literatura/@1MajaNa1990]].
Z kolei rada OPZZ TPZ 11(278) apeluje wyłącznie o to, by *wszystkie związki zawodowe, partie polityczne, stowarzyszenia i organizacje społeczne, skupiające ludzi pracy do wspólnych wystąpień, we wspólnym interesie. Nikt bowiem, poza nami, nie będzie walczył o nasze sprawy*. Do współorganizacji obchodów OPZZ zaprasza przedstawicieli innych środowisk: *Tworzymy zespoły z udziałem zainteresowanych organizacji, przygotowujące – w różnych formach – obchody pierwszomajowe.*
Wśród zaproszonych na obchody 1 maja znalazł się również Lech Wałęsa. Zaproszenie odrzucił, uzasadniając swoją decyzję przeszłością OPZZ, utożsamionego z całym okresem realnego socjalizmu. 3 główne problemy stojące na przeszkodzie to 1) pociągnięcie do odpowiedzialności odpowiedzialnych za sytuację gospodarczą (w domyśle środowisko, którego częscią jest OPZZ) 2) przejęcie majątku Solidarności przez OPZZ 3) rozliczenie zbrodni okresu stalinowskiego. Co ciekawe, mimo negatywnej odpowiedzi Wałęsy, w organizacji warszawskich obchodów, na których OPZZ się skupił, udział brali również przedstawiciele mazowieckiej Solidarności.",PL_1990-2019.md
1990,PL,Uczestnicy,"Według Wyborczej w Warszawie uroczystości zorganizowane przez OPZZ liczone przez wyborczą na kilka tysięcy osób. OPZZ liczy 10 tysięcy. Biorą udział członkowie nowopowstałego SdRP, pojawia się też Jaruzelski, który składa kwiaty pod Bramą Straceń i odwiedza robotników na Żeraniu. Tego samego dnia Kongres założycielski Kongresu Prawicy Polskiej, gdzie wznoszone są hasła. Na trasie marszu stoją jego przeciwnicy – wspomniane tutaj schody kościoła św. Anny. Pochód, choć inną trasą, organizuje również PPS-RD Ikonowicza.",PL_1990-2019.md
1990,PL,Odwołania_historyczne,"Szczególny pierwszy maja, bo *Po raz pierwszy w powojennej Polsce ludzie pracy w tym dniu wystąpią we własnym imieniu, w walce o swoje prawa*. Jest to jednocześnie setna rocznica samego święta.
>",PL_1990-2019.md
1990,PL,Transformacja,"Rozpoczęcie reform przedstawiane jest jako coś pozytywnego, ujmowane w języku nacjocentrycznym – *rozszerza się suwerenność naszego kraju a społeczeństwo odzyskuje podmiotowość.* Jednocześnie OPZZ krytyczny wobec reform, ponieważ *ciężary związane z polskimi przemianami rozłożone są nierówno. W głównej mierze obciążają ludzi pracy. Na to nie możemy się zgodzić*.
>Na pierwszym miejscu sprzeciw wobec bezrobocia, dalej ogólnie, polityce gospodarczej. Przeciw *mieszkaniom dla bogaczy, wyprzedaży za bezcen majątku narodowego*.
>
>Widać też, że dzieje się coś nowego – święto będzie organizowane inaczej niż dotychczas. *Tworzymy zespoły z udziałem zainteresowanych organizacji, przygotowujące – w różnych formach – obchody pierwszomajowe.*
>![[1990_zwiazkowiec_apel.jpg]]",PL_1990-2019.md
1990,PL,Wspolnie_OPZZ_PPS,Nie,PL_1990-2019.md
1990,PL,Miejsca_pamięci,"PPS: Warecka
SLD i OPZZ: pomnik Nike
Jaruzelski: Brama Straceń
SLD i OPZZ: Brama Straceń",PL_1990-2019.md
