rok,miasto,aktor,aktor_znany,typ,trasa,trasa_alt,miejsce_wiecu,miejsce_wiecu_zrodlo,haslo,frekwencja_lista,frekwencja_sr,frekwencja_uwagi,klucze_zrodlowe,plik_zrodlowy,wymaga_weryfikacji
1989,PL,OPZZ,True,,,,,,-,,,,Hasło,PL_1990-2019.md,True
1990,PL,OPZZ,True,demonstracja,"spod siedziby OPZZ – ul. Krakowskie Przedmieście – ul. Królewską – pl. Piłsudskiego - ul. Moliera - na plac Teatralny pod pomnik Nike
Tym samym pochód kończy się niedaleko od miejsca, w którym zostały zorganizowane rok wcześniej główne państwowe obchody tego święta. Wtedy wybór miejsca w swoim przemówieniu uzasadnił Wojciech Jaruzelski:
>*O kilkaset metrów stąd, po drugiej stronie spalonego doszczętnie Teatru Wielkiego, odbył się w pamiętnym maju 1945 pierwszy wiec w wyzwolonej stolicy. Wśród martwych ulic i niekończących się zgliszcz wyszli na demonstrację ci, którzy ocaleli, którzy wbrew wszelkim przeciwnościom, postanowili: podniesiemy ojczyznę z ruin.*
Jak podaje Związkowiec 19(286), pod siedzibą OPZZ na Kopernika zebrało się ""bez mała 10 tysięcy osób"". Jak mówił Miodowicz, tegoroczny pochód miał być przede wszystkim pochodem *solidarności z tymi wszystkimi, którym chodzi o Polskę wolną, demokratyczną, pochód ludzi, którzy opowiadają się za prawami przeciwko bezrobociu, drakońskim czynszom, degradacji inteligencji i kultury narodowej, przeciwko nowej biurokracji państwowej, której potęga jest w stanie zniszczyć wszystko*
>
> Treścią jest przede wszystkim sprzeciw wobec reform i sytuacji w kraju.
> Wśród gości był Leszek Miller. Był też Edward Osóbka Morawski, który na pochodzie miał pojawić się po raz pierwszy od 1946 roku. Jego obecność jest symboliczna. Kontekstu dla niej dodaje wiadomość z Dziennika Trybuna:
![[Doktorat/03_Dane/Polska/Prasa_opisy/DziennikTrybuna1990/image-3-x102-y936.png]]",Ikonowicz: Plac Konstytucji-Marszałkowska-ul. Warecka,na plac Teatralny pod pomnik Nike,koniec trasy,"Walczymy o Polskę wolną, demokratyczną i bezpieczną
Precz z bezrobociem
Magdalenka urodziła nędzę
Tata i mama pracują – dzieci wegetują
Budowlani bez pracy – społeczeństwo bez mieszkań
Walczymy o Polskę wolną, demokratyczną i bezpieczną",5000@GW;12000@RP;10000@TPZ;30000@ŻW,14250,,Hasło;Trasa_alt;Trasa;Hasła_OPZZ;Hasła_radykalne;Hasła_kontra;Frekwencja,PL_1990-2019.md,False
1991,PL,OPZZ,True,demonstracja,spod siedziby OPZZ – ul. Krakowskie Przedmieście – ul. Królewską – pl. Piłsudskiego - ul. Moliera - na plac Teatralny pod pomnik Nike,"Anarchiści: Rondo Dmowskiego-de Gaulle'a. Tam spotkanie z PPS: pl. Konstytucji-de Gaulle'a-Warecka. Na pochodzie PPS 16 komisji zakładowych Solidarności regionu Mazowsze, RDS Bujaka, ZNP, Soliarność Pracy. Ale przemówienie Ikonowicza pod Empikiem na rondzie de Gaulle'a (TVP 1991)",na plac Teatralny pod pomnik Nike,koniec trasy,"1 maja – święto ludzkiej pracy i godności
STOP: – bezrobociu
– głodowym pensjom
– europejskim cenom
– wysokim czynszom
– pogarszaniu warunków pracy
– zamykaniu sanatoriów, ośrodków zdrowia, przedszkól i aptek.",10000@GW;15000@ŻW,12500,,Hasło;Trasa_alt;Hasła_OPZZ;Hasła_radykalne;Hasła_kontra;Trasa;Frekwencja,PL_1990-2019.md,False
1992,PL,OPZZ,True,demonstracja,spod siedziby OPZZ – ul. Krakowskie Przedmieście – ul. Królewską – pl. Piłsudskiego - ul. Moliera - na plac Teatralny pod pomnik Nike,PPS: Rondo de Gaulle'a-Warecka,na plac Teatralny pod pomnik Nike,koniec trasy,"Dzień protestu przeciwko nieudolnej polityce gospodarczej i społecznej
1 maja jest w tym roku dniem związkowego protestu. Dlatego na transparentach i w powitaniu wielokrotnie pada słowo: protest.
Chcemy Pracować a nie Głodować
Dość arogancji i samozadowolenia
Żądamy Pracy i Chleba
Pracy i Chleba
Stop Zagładzie Służby Zdrowia
Precz z głodowym budżetem
Bezrobocie Stop
Nie niszczyć Oświaty, Oświecić Rząd",15000@GW;30000@TPZ;4000@ŻW;47000@DT;30000@Miodowicz,25200,,Hasło;Trasa_alt;Trasa;Frekwencja;Hasła_OPZZ,PL_1990-2019.md,False
1993,PL,OPZZ,True,demonstracja,"spod siedziby OPZZ – ul. Krakowskie Przedmieście – ul. Królewską – pl. Piłsudskiego - ul. Moliera - na plac Teatralny pod pomnik Nike. Ciekawostką jest, że zostaje ona określona już jako *tradycyjna* – i to mimo tego, że dopiero 3 raz pochód będzie nią przechodził.
O rutynizacji i bardziej refleksyjnym podejściu do świeta świadczą (lepiej) wydania 18 i 19.
W tym roku powraca również temat 3 majowego i znaczenia tego święta.","PPS Ikonowicza dołącza do pochodu, rozpoczyna na rondzie de Gaulle'a",,,Ratujmy razem Polskę,3000@GW;13000@DT,8000,,Hasło;Trasa_alt;Hasła_kontra;Trasa;Frekwencja,PL_1990-2019.md,False
1994,PL,OPZZ,True,demonstracja,"spod siedziby OPZZ – ul. Krakowskie Przedmieście – ul. Królewską – pl. Piłsudskiego - ul. Moliera - na plac Teatralny pod pomnik Nike
Po raz pierwszy pochód OPZZ zostaje zakłócony przedstawicieli Ligi Republikańskiej, którzy, jak donosi Życie Warszawy, przeszli trasą pochodu za blokiem PPS, ale przed OPZZ-SLD. Dołączyli do niego pod bramą Uniwersytetu Warszawskiego.","PPS Ikonowicza od ronda de Gaulle'a do pl. Teatralnego trasą: Nowy Świat, Krakowskie Przedmieście, Trębacka, Moliera. Tam czeka na pochód OPZZ",na plac Teatralny pod pomnik Nike,koniec trasy,"Wspólna manifestacja woli budowania szerokiego frontu organizacji lewicowych
Realizacja programu SLD naszym celem
Koalicja SLD-PSL szansą dla Polski",2000@ŻW;1500;4000@GW,2500,bez liczby: Dziennik Trybuna,Hasło;Trasa_alt;Trasa;Hasła_kontra;Hasła_OPZZ;Frekwencja,PL_1990-2019.md,False
1995,PL,OPZZ,True,demonstracja,spod siedziby OPZZ – ul. Krakowskie Przedmieście – ul. Królewską – pl. Piłsudskiego - ul. Moliera - na plac Teatralny pod pomnik Nike,"PPS Ikonowicz zaczyna na de Gaulle'a, tam dołącza do OPZZ",na plac Teatralny pod pomnik Nike,koniec trasy,"Wspólne święto związkowe. Dzień walki o stały rozwój gospodarczy
*""Dość eksmisji!""
""Precz z prywatyzacją""
""Precz z kapitalizmem"" – żądali działacze PPS i OPZZ (Życie Warszawy 1995)",2000@GW;10000@TPZ;4000@ŻW;2000@RP,4500,bez liczby: DT,Hasło;Trasa_alt;Trasa;Hasła_kontra;Hasła;Frekwencja,PL_1990-2019.md,False
1995,PL,PPS,True,,,,,,"Reprywatyzacji - nie"", ""Spółdzielczość - szkołą samorządności",,,,Hasła_PPS,PL_1990-2019.md,True
1996,PL,OPZZ,True,demonstracja,spod siedziby OPZZ – ul. Krakowskie Przedmieście – ul. Królewska – pl. Grzybowski,"PPS Ikonowicza składa kwiaty pod siedzibą Robotnika. Potem przejdzie ul. Kubusia Puchatka, Świętokrzyską i pod pomnikiem Kopernika połączy się z manifestacją OPZZ.Po raz pierwszy dochodzi do zmiany trasy pochodu, który tym razem zmierza na plac Grzybowski, a nie na plac Teatralny. Nie wpłynęło to jednak na działania Ligi Republikańskiej, której działacze i tak zdecydowali się na przerwanie pochodu w dwóch miejscach. Najpierw pod bramą uniwersytetu, a potem już na placu Grzybowskim. Pod Bramą UW, 400-osobowa grupa była na tyle skuteczna, że przejście pochodu umożliwione zostało dopiero dzięki interwencji policyjnej. Znowu uroczystości pod Bramą Straceń firmowane są przede wszystkim przez Unię Pracy.Biorąc pod uwagę miejsce poświęcone w Nowym Tygodniku Popularnym (20/1996) Lidze Republikańskiej, organizowane przez nią blokady były w tym roku nieco bardziej dotkliwe. Pojawiały się tam ciekawe opisy – prawica jako siła antyspołeczna i do pewnego stopnia antydemokratyczna (?). Próbuje zakłócić pochód na różne sposoby: hasła w rodzaju ""SLD-KGB"";'""Czerwoni złodzieje"";""Komuniści do gazu"". *Byli i tacy, którzy jak torpeda, rzucali się w tlum, by przerwać pochód, przestraszyć, zaszokować*.*Niestety, prawica na swe majowe konto wpisała polityczne oszołomstwo, chamstwo, awanturnictwo. Lewica wykazała rozwagę, odpowiedzialność, spokój. I to może sobie z pewnością wpisać na swoje konto.*Działania te skłaniają autora do pytania o przemyślenie formy obchodów (pikniki, festyny), lub jej zabezpieczenie (silna i młoda ekipa na czole pochodu). *Jedno jest pewne. Na powtórkę ""przy huku petard"" naszego, związkowego przyzwolenia dać nie możemy.*Ogólnie rzecz biorąc, zamieszanie związane z blokadami Ligi Republikańskiej przyćmiło również w prasie związkowej treści pierwszomajowych uroczystościZamieszanie w telewizji z lat poprzednich nie wyadrzy się już w roku 1996: “Siemoniak wycofał kilka pozycji z programu zaplanowanego na 1 maja: ""Czerwiec '56"", ""Robotnicy '80"", ""SOC według Szpota"", ""Miś"". W świąteczne dni nie zobaczymy też zaplanowanego wcześniej ""Przesłuchania"" Ryszarda Bugajskiego i filmu o Józefie Mackiewiczu” [[@1MajaTroche1996]]**Przewidziana była też dyskusja Ewy Spychalskiej z Marianem Krzaklewskim o Święcie 1 maja**",pl. Grzybowski,koniec trasy,"Manifestacja jedności lewicy i godności ludzi pracy
- PRL - 45 lat budowania, 7 lat III RP - niszczenie i wyprzedaż Polski""[[@PoszliWieluPochodach1996]]- “Oleksy dziękował tym, którzy stanęli po jego stronie, gdy zarzucono mu szpiegostwo: - Wszystkich was sercem ogarniam. Polska jest zagrożona przez nadętych polityków, którzy przez zacietrzewienie chcą stanąć ponad prawem. Nie gaście ducha, w lewicy otucha - kończył trawestacją hasła pielgrzymek papieskich.” [[@PoszliWieluPochodach1996]]",2000@GW;10000@TPZ;2000@RP;10000@organizatorzy,6000,bez liczby: Dziennik Trybuna,Hasło;Trasa;Trasa_alt;Hasła;Hasła_kontra;Frekwencja,PL_1990-2019.md,False
1996,PL,SLD,True,,,,,,"Dwa główne hasła SdRP to: ""Warszawa musi być miastem bezpiecznym"" oraz hasło podkreślające, że SLD jest ""płaszczyzną porozumienia lewicy"" (RP)",,,,Hasła_SLD,PL_1990-2019.md,True
