rok,miasto,godzina_od,godzina_do,dzielnica,dzielnice_wszystkie,aktor,skala,zrodlo,sekcja,id_wydarzenia,tekst,odniesienie
1987,DE,02:00,,,,,,korpus,Opis wydarzeń za stroną ruchu autonomicznych anarchistów,,Erst ab ca. 2.00 Uhr nachts greift die Polizei wieder massiv ein. Mit Wasserwerfern und Räumfahrzeugen rückt sie gegen die brennenden Barrikaden und die noch verbliebenen,DE_1990-2019.md:24
1987,DE,04:45,,,,,,korpus,Opis wydarzeń za stroną ruchu autonomicznych anarchistów,,"Um 4.45 Uhr riegeln zehn Mannschaftswagen der Polizei das Gelände des Mehringhofes ab, brechen mehrere Tore und Türen auf und durchsuchen das Volkszählungsinform",DE_1990-2019.md:13
1990,DE,08:30,,Mitte,,DGB,centrum,mapa,DGB,1990_DE_demonstracja_DGB-mitte,1990 East German Demonstration | stag zu ziehen. Fehlen werden am Lustgarten die IG-Metaller Ost. Sie treffen sich mit den West-KollegInnen um 8.30 Uhr vor dem IG-Metall-Haus in der Alten Jakobstraße. (taz 30.04.1990) Attendance: 16000 (taz) 15000 (ND),1__mai_berlin_aktualna_14_.geojson#46
1990,DE,09:00,,Mitte,,DGB,centrum,mapa,DGB,1990_DE_demonstracja_DGB-mitte,"1990 East German Demonstration | Aufgerfen, sich 9 Uhr zur Kundgebung im Lustgarten zu treffen, haben die Grüne Liga, der Unabhängige Frauenverband, der DFD, die Vereinigte Linke, derUnabhängige Sozialist",1__mai_berlin_aktualna_14_.geojson#46
1990,DE,09:00,,Mitte,,DGB,centrum,mapa,DGB,1990_DE_demonstracja_DGB-mitte,"1990 East German Demonstration | en des FDGBs, die alle als selbständige Organisationen zur Demonstration aufgerufen haben, versammeln sich um 9 Uhr im Lustgarten und wandern zum Brandenburger Tor. Alle Ost- und Westzüge treffen sich zwischen dem eingerüsteten Tor und Potsdamer Platz, um vereinigt",1__mai_berlin_aktualna_14_.geojson#46
1990,DE,10:45,,Tiergarten,,DGB,centrum,mapa,DGB,1990_DE_festyn_DGB,"DGB Maifest 1990 | First joint rally in Berlin since 1948; 10:45 Berliner Hymnentafel: ""Wann wir schreiten..."" 10:48 We Shall Overcome 10:55 Friede auf",1__mai_berlin_aktualna_14_.geojson#16
1990,DE,10:48,,Tiergarten,,DGB,centrum,mapa,DGB,1990_DE_festyn_DGB,"DGB Maifest 1990 | Berliner Hymnentafel: ""Wann wir schreiten..."" 10:48 We Shall Overcome 10:55 Friede auf unserer Erde 10:58 Für",1__mai_berlin_aktualna_14_.geojson#16
1990,DE,10:55,,Tiergarten,,DGB,centrum,mapa,DGB,1990_DE_festyn_DGB,DGB Maifest 1990 | We Shall Overcome 10:55 Friede auf unserer Erde 10:58 Für Freiheit und Recht 11:00 Start,1__mai_berlin_aktualna_14_.geojson#16
1990,DE,10:58,,Tiergarten,,DGB,centrum,mapa,DGB,1990_DE_festyn_DGB,DGB Maifest 1990 | Friede auf unserer Erde 10:58 Für Freiheit und Recht 11:00 Start of ARD live broadcast 11:03,1__mai_berlin_aktualna_14_.geojson#16
1990,DE,11:00,,,,,,korpus,Aufruf zur 1. Mai-Demo in Ostberlin,,Beginn: 11 Uhr,DE_1990-2019.md:232
1990,DE,11:00,,Tiergarten,,DGB,centrum,mapa,DGB,1990_DE_festyn_DGB,DGB Maifest 1990 | Für Freiheit und Recht 11:00 Start of ARD live broadcast 11:03 Solidaritätslied 11:06 Lied der Fr,1__mai_berlin_aktualna_14_.geojson#16
1990,DE,11:03,,Tiergarten,,DGB,centrum,mapa,DGB,1990_DE_festyn_DGB,DGB Maifest 1990 | Start of ARD live broadcast 11:03 Solidaritätslied 11:06 Lied der Freiheit (Nabucco) 11:10,1__mai_berlin_aktualna_14_.geojson#16
1990,DE,11:06,,Tiergarten,,DGB,centrum,mapa,DGB,1990_DE_festyn_DGB,DGB Maifest 1990 | Solidaritätslied 11:06 Lied der Freiheit (Nabucco) 11:10 Rede Michael Pagels 11:18 Rede Ing,1__mai_berlin_aktualna_14_.geojson#16
