rok,godzina_od,godzina_do,dzielnica,dzielnice_wszystkie,aktor_zgadniety,sekcja,tekst,wiersz_zrodlowy
1987,02:00,,,,,Opis wydarzeń za stroną ruchu autonomicznych anarchistów,Erst ab ca. 2.00 Uhr nachts greift die Polizei wieder massiv ein. Mit Wasserwerfern und Räumfahrzeugen rückt sie gegen die brennenden Barrikaden und die noch verbliebenen Demonstranten vor.,23
1987,04:45,,,,,Opis wydarzeń za stroną ruchu autonomicznych anarchistów,"Um 4.45 Uhr riegeln zehn Mannschaftswagen der Polizei das Gelände des Mehringhofes ab, brechen mehrere Tore und Türen auf und durchsuchen das Volkszählungsinformations-Büro.",12
1990,04:14,,,,PDS,Przebieg DGB / rbb – małe gwizdy na wchodzący na plac PDS?,"Najlepsze miejsca w pierwszym rzędzie już 1,5h przed demonstracją zajęła grupa PDS!! (4:14)",186
1990,04:58,,,,DGB;PDS,Przebieg DGB / rbb – małe gwizdy na wchodzący na plac PDS?,"Gdy na placu Republiki pojawia się blok PDS, którego członkowie przynieśli ze sobą wiele flag NRD. Jak donosi reporter rbb, es gibt kleine Rangeleien vor Beginn der Veranstaltung, und immer scheint, gibt es im Augenblick auch einige, den als die Gruppe des PDS auf dem Platz erschien, gab es einige kleine Pfeiffkonzerte (4:58, Sondersendung) eastwest/DGB/1990",185
1990,11:00,,,,,Aufruf zur 1. Mai-Demo in Ostberlin,Beginn: 11 Uhr,230
1990,11:10,,,,DGB;SPD,Prasa / taz / Vereinter Ruf in Berlin: „Heraus zum 1. Mai“,"Opis:: First joint May Day demonstration of East and West since 1947. Among important characteristics of this years' holiday is de-partisanship of the holiday – no SED tribune, no SPD party event. The main actor would be DGB, which sets the tone for the celebrations just as they were in 1982 – trade union event on the Platz der Republik. The schedule of all the demonstrations is presented and the ",552
1990,18:00,,,,,Aufruf zur 1. Mai-Demo in Ostberlin / Wydarzenia," (taz 2.05.1990) Zum 100 jährigen Jubiläum des 1.Mai zeigt das Haus am Lützowplatz eine Ausstellung zur Geschichte des Feiertages. Die Präsentation der Kunstwerke dokumentiere die Höhen und Tiefen dieses internationalen Kampftages. Die Hälfte der Exponate kommt aus dem Osten. Gezeigt werden Festzeitschriften, Karikaturen und Plakate sowie eine Fotoausstellung zu den Mai-Veranstaltungen aus beiden ",237
1990,18:00,,,,,Prasa / taz / Ausstellung zu 100 Jahre 1. Mai,"Opis:: Zum 100jährigen Jubiläum des 1.Mai zeigt das Haus am Lützowplatz eine Ausstellung zur Geschichte des Feiertages. Die Präsentation der Kunstwerke dokumentiere die Höhen und Tiefen dieses internationalen Kampftages. Die Hälfte der Exponate kommt aus dem Osten. Gezeigt werden Festzeitschriften, Karikaturen und Plakate sowie eine Fotoausstellung zu den Mai-Veranstaltungen aus beiden Teilen Berl",658
1990,19:30,,Wedding,Wedding,FDGB;PDS,Aufruf zur 1. Mai-Demo in Ostberlin / Wydarzenia," (BZ 30.04.90) Als Beitrag zur 100jährigen Geschichte des Arbeiterkampftages 1. Mai wurde gestern abend im Heimatmuseum Wedding, Pank-straise 47, eine Ausstellung -„100Jahre Berliner Maifeiern 1890 bis 1990"" eröffnet. Zusammengestellt wurde sie vom „Verein zum Studium sozialer Bewegungen e. V."". Leihgaben stammen aus privaten Beständen, Archiven, Museen, darunter auch aus dem Museum für Deutsche G",235
1990,20:00,,,,,Revolutionäre 1. Mai / Przebieg,"Wir rufen Frauen und Männer aus Ost und West auf, sich diese Häuser zu nehmen, bevor es zu spät ist. Bilder Gruppenzusammenhänge und beendet Eure Wohnungsnot! Wir schlagen Euch eın gemeinsames Treffen vor, um konkrete Schritte und Vorbereitungen zu besprechen. Dies soll in der ""Kirche von Unten"", Elisabethkirchsir. 21, Berlin, 1040, am 29.04.1950 um 20.00 Uhr stattfinden.",211
