rok,miasto,aktor,aktor_znany,typ,trasa,trasa_alt,miejsce_wiecu,miejsce_wiecu_zrodlo,haslo,frekwencja_lista,frekwencja_sr,frekwencja_uwagi,klucze_zrodlowe,plik_zrodlowy,wymaga_weryfikacji
1989,PL,OPZZ,True,,,,,,-,,,,Hasło,PL_1990-2019.md,True
1996,PL,SLD,True,,,,,,"Dwa główne hasła SdRP to: ""Warszawa musi być miastem bezpiecznym"" oraz hasło podkreślające, że SLD jest ""płaszczyzną porozumienia lewicy"" (RP)",,,,Hasła_SLD,PL_1990-2019.md,True
1998,PL,,False,demonstracja,spod siedziby OPZZ – ul. Krakowskie Przedmieście – ul. Królewska – pl. Grzybowski,PPS Ikonowicza: de Gaulle'a- Nowy Świat i spotkanie z OPZZ pod jej siedzibą,pl. Grzybowski,koniec trasy,"Dzień walki o solidarność ludzi pracy i pakt dla polskiej rodziny. 1 maja naszym świętem
Chcemy Paktu dla polskiej rodziny
Tanie Leki do Apteki
Władza wasza, bieda nasza
1 Maja naszym świętem
Zwolnić rząd zamiast górników
Ryszard Kukliński naszym przyjacielem jest, za pieniądze z CIA",6000@TPZ;3000@ŻW;3000@RP,4000,bez liczby: DT,Hasło;Trasa;Trasa_alt;Hasła;Hasła_radykalne;Frekwencja,PL_1990-2019.md,True
2008,PL,SLD,True,,,,,,"Niech się tarcza w dziurę schowa, nas obroni Częstochowa (Gadzinowski, spiker)
Dawać na płacę, nie na tacę!",,,,Hasła_SLD,PL_1990-2019.md,True
2011,PL,OPZZ,True,demonstracja,nie było pochodu (beatyfikacja Jana Pawła II) – odbył się centralny pochód w Szczecinie,de Gaulle'a-plac Grzybowski,,,Chcemy socjalnej Polski w  socjalnej Europie,200@GW;100@Wprost;100@RP,133,,Hasło;Trasa;Trasa_alt;Frekwencja,PL_1990-2019.md,False
2012,PL,SLD,True,,,,,,"*Praca Tymczasowa, wyzysk stały*
*Precz z umowami śmieciowymi młodzi",,,,Hasła_SLD,PL_1990-2019.md,True
2013,PL,SLD,True,,,,,,"*Praca Tymczasowa, wyzysk stały*",,,,Hasła_SLD,PL_1990-2019.md,True
2015,PL,OPZZ,True,demonstracja,"- manifestacja się nie odbywała ze względu na odbytą 18.04. wielką manifestację OPZZ w Warszawie. W parku im. Rydza Śmigłego przy ul. Rozbrat odbył się zorganizowany przez Lewicę piknik europejski. OPZZ złożył jak co roku kwiaty w Cytadeli Warszawskiej – Brama Straceń i pod pomnikiem upamiętniającym pierwszą manifestację P.P.S. – Warszawa, Plac Grzybowski","- Partia Zmiana oranizuje pochód rozpoczynający się na placu Osterwy (OPZZ)-Nowy Świat-Krakowskie Przedmieście-Pałac Prezydencki
- ""Ikonowicz na rondzie de Gaulle'a wiecuje, nie mam informacji dokąd idzie""","Warszawa, Plac Grzybowski",koniec trasy,"nowe, lepsze miejsca pracy, godziwe wynagrodzenia i zmniejszenie nierówności społecznych(Szumlewicz)
nowe, lepsze miejsca pracy, godziwe wynagrodzenia i zmniejszenie nierówności społecznych.",,,bez liczby: pochód OPZZ nie odbywa się,Hasło;Trasa;Trasa_alt;Hasła_OPZZ;Frekwencja,PL_1990-2019.md,False
2017,PL,Razem,True,,,,,,"Razem z lokatorami
Polska dla milionów, nie dla milionerów
Wolne związki zawodowe",,,,Hasła_Razem,PL_1990-2019.md,True
2018,PL,Razem,True,,,,,,"Mieszkanie prawem nie towarem
Umowy Śmieciowe do kosza
Najpierw ludzie, potem zyski",,,,Hasła_Razem,PL_1990-2019.md,True
2019,PL,OPZZ,True,demonstracja,"Nie było pochodu odbył się piknik przy pomniku I. Daszyńskiego pl. Na Rozdrożu. Składano wieńce na Cytadeli Warszawskiej – Brama Straceń
i pod pomnikiem upamiętniającym pierwszą manifestację P.P.S. – Warszawa, Plac Grzybowski","- O godz. 11 na rondzie de Gaulle’a Społeczne Forum Wymiany Myśli, Studencki Komitet Antyfaszystowski, Historia Czerwona, Fundacja Naprzód, Uniwersytet Zaangażowany oraz redakcja Portalu Strajk organizuje demonstrację z okazji Święta Pracy. Uczestnicy przejdą na plac Bankowy.- O godz. 12.30 Polska Partia Socjalistyczna organizuje na placu Grzybowskim Międzynarodowy Dzień Solidarności Ludzi Pracy, który - jak zapowiadają organizatorzy - ma być ""wspólną manifestacją lewicy"". (strajk. eu)",Brama Straceń,koniec trasy,-,,,bez liczby: pochód OPZZ nie odbywa się,Hasło;Trasa;Trasa_alt;Frekwencja,PL_1990-2019.md,False
2020,PL,OPZZ,True,demonstracja,"Pochodów nie było z powodu COVID-19. Składano wieńce na w Cytadeli Warszawskiej – Brama Straceń
i pod pomnikiem upamiętniającym pierwszą manifestację P.P.S. – Warszawa, Plac Grzybowski i pod pomnikiem I. Daszyńskiego",,Brama Straceń,koniec trasy,,,,,Hasło;Trasa,PL_1990-2019.md,False
2021,PL,OPZZ,True,demonstracja,"Pochodów nie było z powodu COVID-19. Składano wieńce na w Cytadeli Warszawskiej – Brama Straceń
i pod pomnikiem upamiętniającym pierwszą manifestację P.P.S. – Warszawa, Plac Grzybowski i pod pomnikiem I. Daszyńskiego",,Brama Straceń,koniec trasy,,,,,Hasło;Trasa,PL_1990-2019.md,False
2022,PL,OPZZ,True,demonstracja,spod siedziby OPZZ – ul. Świętokrzyska - ul. Nowy Świat – rondo de Gaull’ea - pl. Trzech Krzyży – A. Ujazdowskie – pl. Na Rozdrożu – Al. Szucha – pomnik I. Daszyńskiego,,pomnik I. Daszyńskiego,koniec trasy,Godna praca=godne życie. Niech się święci 1. maja!,,,,Hasło;Trasa,PL_1990-2019.md,False
2023,PL,OPZZ,True,demonstracja,pochód spod Pałacu Kultury i Nauki (park Świętokrzyski) – ul. Świętokrzyską - pod siedzibę OPZZ.,,pod siedzibę OPZZ,koniec trasy,Godna praca=godne życie. Niech się święci 1. maja!,,,,Hasło;Trasa,PL_1990-2019.md,False
2024,PL,OPZZ,True,demonstracja,pochód spod Pałacu Kultury i Nauki (park Świętokrzyski) – ul. Świętokrzyską - pod siedzibę OPZZ.,,pod siedzibę OPZZ,koniec trasy,Chcemy Europy Socjalnej,,,,Hasło;Trasa,PL_1990-2019.md,False
1990,DE,FDGB,True,,,,,,,,,,Apel_FDGB,DE_1990-2019.md,True
