id,pole,przed,po,notatka
1991_PL_demonstracja_PPS_a,nazwa_wariantu,1991 PPS distributing leaflets along the route of the demonstration,1991_PL_kontra_PPS,
1990_PL_upamiętnienie_Brama-Stracen,aktor,,OPZZ_SdRP_Prezydent,"O 12, delegacje uczestników pochodu składają kwiaty (DT), Jaruzelski składa kwiaty w asyście wojskowej. Sam? (DT)"
1991_PL_upamiętnienie_Brama-Stracen,aktor,,OPZZ_SdRP,
1992_PL_upamiętnienie_Brama-Stracen,aktor,,UP_OPZZ_SdRP,
1993_PL_upamiętnienie_Brama-Stracen,aktor,,UP_OPZZ_SdRP,"delegacje SLD i OPZZ składają po wiecu kwiaty (DT), UP samodzielnie składa kwiaty o 11; zebrało się kilkadziesiąt osób (GW)"
1994_PL_upamiętnienie_Brama-Stracen,aktor,,UP_OPZZ_SdRP,"PPS udaje się w delegację do Bramy Straceń, gdzie składane są kwiaty (DT), Samodzielny wiec i składanie kwiatów przez UP (TVP)"
1995_PL_upamiętnienie_Brama-Stracen,aktor,,UP_OPZZ_SdRP,"po pochodzie, o 12 delegacje SLD i OPZZ składają kwiaty pod Cytadelą (DT), UP – odrębny wiec i składanie kwiatów (ŻW)"
1996_PL_upamiętnienie_Brama-Stracen,aktor,,UP_OPZZ_SdRP,"UP składa kwiaty o 11 (GW), Po manifestacji delegacje uczestników składają kwiaty (DT)"
1997_PL_upamiętnienie_Brama-Stracen,aktor,,UP_OPZZ_SdRP,Oddzielne uroczystości organizuje Unia Pracy. Unici zaczynają od złożenia wieńca przy Bramie Straceń o 11.  ... O 12 działacze SLD złożą wieńce pod Ścianą Straceń na stokach Cytadeli. Pół godziny później SdRP organizuje w swojej siedzibie konferencję prasową. GW 1997
1998_PL_upamiętnienie_Brama-Stracen,aktor,,UP_OPZZ_SdRP,"""Pod Cytadelą samodzielny wiec UP, połączony z ceremonią składania kwiatów (TVP), Delegacje """"lewicy"""" składają kwiaty pod Cytadelą przed pochodem (RP)"" 1999:	UP samodzielnie składa kwiaty. Podejrzewam, że możliwe, że później również SLD i OPZZ (DT)"
1999_PL_upamiętnienie_Brama-Stracen,aktor,,Unia Pracy,Rada Mazowiecka Unii Pracy zaprasza na 10:45 członków i sympatyków na ceremonię składania wieńców (DT)
2000_PL_upamiętnienie_Brama-Stracen,aktor,,UP_OPZZ_SdRP,"Przedstawiciele UP składają wieniec przed tablicą, i kwiaty na grobach samodzielnie, o 11. O 12 przedstawiciele SLD i OPZZ w tym samym miejscu (DT 2000)"
2001_PL_upamiętnienie_Brama-Stracen,aktor,,Unia Pracy,"(pewnie pierwsze, które nie jest do rozbicia wydarzenie) Po raz pierwszy w wiecu przy Cytadeli do UP dołączają przedstawiciele SLD i PPS (DT)."
2002_PL_upamiętnienie_Brama-Stracen,aktor,,Unia Pracy,"Wspólne składanie wieńców przez Millera, i Marka Belkę z UP. W delegacji również OPZZ (TVP)"
2003_PL_upamiętnienie_Brama-Stracen,aktor,,Unia Pracy,"elegacje OPZZ (i pewnie innych, tak jak UP) składają kwiaty (KZ)"
2004_PL_upamiętnienie_Brama-Stracen,aktor,,Unia Pracy,"Pochód zaczyna się o 9:30 – kiedy składanie wieńców? NA pewno była delegacja OPZZ, w jej składzie Wiesława Taranowska (NTP, KZ), Jeszcze przed pochodem Oleksy i Jaruga-Nowacka złożyli kwiaty pod Bramą Straceń Warszawskiej Cytadeli (DT, 4.05)"
2005_PL_upamiętnienie_Brama-Stracen,aktor,,Unia Pracy,Najpewniej UP sklada kwiaty na Cytadeli (skoro w 2006 było napisane że zgodnie z tradycją delegacja OPZZ tam jest)
2006_PL_upamiętnienie_Brama-Stracen,aktor,,Unia Pracy,delegacje OPZZ i NTP składają kwiaty (pewnie UP też) (NTP)
2007_PL_upamiętnienie_Brama-Stracen,aktor,,Unia Pracy,"brak informacji, najpewniej się odbyło"
