kolejka,klucz,akcja,lata,notatka
brakujace,1991-Hellersdorf-15:00-0,dodać,,"Avendveranstaltung mit Gregor Gysi, Haus Kastanienallee 6/8"
brakujace,1991-Hohenschönhausen-20:00-0,dodać,,
brakujace,1991-Kreuzberg-15:45-0,dodać,,"zachować do oddzielnego zestawienia opisów zamieszek, mogą się przydać"
brakujace,1991-Köpenick-18:00-0,dodać,,poprawka: od 14:30 do 18:00
brakujace,1991-Marzahn-13:00-0,dodać,,"korekta: von der PDS-Geschäftsstelle. Kinderfest, Kremserfahrten, Disco, Plaudermöglichkeiten mit Gewerkschaftlern, Marzahner Abgeordneten. Um 20 Uhr Klubgespräch mit Michael Brie und Reinhold Andert ""Perestroika – letzter Akt Sozialismus"""
brakujace,1991-Müggelheim-14:00-0,pomijam,,
brakujace,1991-Prenzlauer Berg-20:00-0,dodać,,
brakujace,1992-Kreuzberg-13:00-0,duplikat,,"ta demonstracja jest jako oddzielne wydarzenie na mapie, raczej duplikat"
brakujace,1992-Kreuzberg-15:00-0,duplikat,,"opisane starcia z neonazi o 15:00, przy okazji FAP demonstration"
brakujace,1993-Friedrichshain-14:00-0,duplikat,,
brakujace,1993-Friedrichshain-14:00-1,duplikat,,
brakujace,1993-Kreuzberg-15:00-0,duplikat,,
brakujace,1993-Kreuzberg-19:00-0,duplikat,,
brakujace,1993-Marzahn-13:00-0,duplikat,,
brakujace,1993-Mitte-10:00-0,pomijam,,"miejsce zbiórki demonstracji związkowej, a nie wydarzenie"
brakujace,1994-Friedrichshain-12:00-0,duplikat,,
brakujace,1994-Hohenschönhausen-18:00-0,dodać,,
brakujace,1994-Köpenick-14:00-0,dodać,,"dwa wydarzenia SPD: jedno to Volksfest Schlosshof w Köpenick, drugie na Breite Strasse w Pankow"
brakujace,1994-Prenzlauer Berg-20:00-0,pomijam,,wydarzenie z 30.04; zachować do rezerwy jako pominięte
brakujace,1994-Spandau-18:00-0,pomijam,,wydarzenie z 30.04; zachować do rezerwy jako pominięte
brakujace,2019-Gatow-17:00-0,pomijam,,
brakujace,2019-Grunewald-12:00-0,duplikat,,
brakujace,2019-Grunewald-13:00-0,pomijam,,
