id,rok,rok_zrodlo,miasto,warstwa,typ,typ_zrodlo,aktor,aktor_zgadniety,charakter,nazwa,opis,haslo,frekwencja_mapa,geom_typ,dlugosc_trasy_m,punkt_start,punkt_koniec,id_geo,plik_zrodlowy,postcovid,wymaga_weryfikacji
1991_PL_demonstracja_PPS,1991,Lata,PL,PPS,demonstracja,warstwa,PPS,False,niezwiazkowe,1991 PPS,"*W manifestacji wzięło udział prawie 200 osób, w większości członków PPS (wśród których wyróżniał się sekretarz generalny partii Andrzej Malanowski w czerwonym krawacie). Dołączyli do nich idący z placu Konstytucji zwolennicy Komitetu Współpracy ""Na Lewo od PPS"" (udzielający licznych wywiadów), Ruchu ""Wolność i Pokój"" (z transparentem ,,Jesteśmy za aborcją parlamentu""), ""Solidarności Socjalistycznej"" (w pełnym siedmioosobowym składzie) oraz Ruch Społeczeństwa Alternatywnego z Międzymiastówką Anarchistyczną (czarno-kolorowi) _ w sumie ok. 30 osób, ochranianych przez 18 policjantów i obserwowanych przez 40 dziennikarzy.* (Wyborcza)",,200,LineString,2418.5,"52.236711,21.01645","52.221781,21.016528",0,umap_backup_1-maja_warszawa9.umap,,False
1991_PL_demonstracja_PPS_a,1991,Lata,PL,PPS,demonstracja,name,PPS,False,niezwiazkowe,1991 PPS distributing leaflets along the route of the demonstration,"Z budynku na Krakowskim Przedmieściu 6 przedstawiciele PPS rozrzucają ulotki i wywieszają swoje czerwone flagi (TVP, RP 2000)",,,Point,,"52.238664,21.017703","52.238664,21.017703",1,umap_backup_1-maja_warszawa9.umap,,False
1992_PL_demonstracja_PPS,1992,Lata,PL,PPS,demonstracja,warstwa,PPS,False,niezwiazkowe,1992 PPS,"*Pierwszomajowa manifestacja, zorganizowana w Warszawie przez PPS, najdobitniej świadczy o słabości tzw. lewicy postsolidarnościowej. Zaledwie stokilkadziesiąt osób przemaszerowało z ronda de Gaulle'a na ul. Warecką (do historycznej siedziby centralnych władz PPS), a następnie pod Ministerstwo Finansów.* (Dziennik Trybuna)

*Uczestniczyli młodzi anarchiści* (Wyborcza)",,200,LineString,819.3,"52.236711,21.01645","52.231696,21.020751",2,umap_backup_1-maja_warszawa9.umap,,False
1993_PL_demonstracja_PPS,1993,Lata,PL,PPS,demonstracja,warstwa,PPS,False,niezwiazkowe,1993 PPS,"Brak informacji o osobnym wiecu lub demonstracji w GW, ŻW, NTP, DT",,,MultiLineString,1268.3,"52.2317,21.020801","52.237884,21.020476",3,umap_backup_1-maja_warszawa9.umap,,False
1994_PL_demonstracja_PPS,1994,Lata,PL,PPS,demonstracja,warstwa,PPS,False,niezwiazkowe,1994 PPS,"9:30 – pochód PPS rusza z de Gaulle'a i dołącza do OPZZ przed siedzibą związku (ŻW); pod pomnikiem Kopernika zorganizowany jest krótki wiec (TVP 1994)
Razem z nim szło kilkunastu młodych ludzi z warszawskiego środowiska anarcho-syndykalistycznego (GW 1994)",,100,MultiLineString,1268.3,"52.2317,21.020801","52.237884,21.020476",4,umap_backup_1-maja_warszawa9.umap,,False
1995_PL_demonstracja_PPS,1995,Lata,PL,PPS,demonstracja,warstwa,PPS,False,niezwiazkowe,1995 PPS,"*Pierwsi zebrali się PPS-owcy. O godz. 9 kilkadziesiąt osób z czerwonymi opaskami na rękach i transparentami ""Reprywatyzacji - nie"", ""Spółdzielczość - szkołą samorządności"" ruszyło z ronda de Gaulle'a w Nowy Świat.* (Wyborcza)",,80,MultiLineString,1268.3,"52.2317,21.020801","52.237884,21.020476",5,umap_backup_1-maja_warszawa9.umap,,False
1996_PL_demonstracja_PPS,1996,Lata,PL,PPS,demonstracja,warstwa,PPS,False,niezwiazkowe,1996 PPS,"*PPS - o godz. 9.30 złożenie kwiatów przy pamiątkowym kamieniu przy ul. Wareckiej, gdzie mieściła się redakcja ""Robotnika"". O godz. 10 zbiórka pod pomnikiem Kopernika i tu spotkanie z pochodem OPZZ* (Wyborcza)
*Pochód organizowany przez PPS przejdzie ul. Kubusia Puchatka, Świętokrzyską i pod pomnikiem Kopernika połączy się z manifestacją OPZZ* (rzeczpospolita)",,100,MultiLineString,469.5,"52.233595,21.019292","52.238369,21.017742",6,umap_backup_1-maja_warszawa9.umap,,False
1997_PL_demonstracja_PPS,1997,Lata,PL,PPS,demonstracja,warstwa,PPS,False,niezwiazkowe,1997 PPS,"*Działacze PPS spotkają się o 9 na rondzie de Gaulle'a i pomaszerują Nowym Światem w kierunku Świętokrzyskiej. Po drodze delegacja skręci w ul. Warecką i złoży kwiaty pod tablicą upamiętniającą miejsce, gdzie przed wojną była redakcja ""Robotnika"". Ok. 10 pepeesowcy dołączą do ogólnego pochodu SLD przed siedzibą OPZZ przy ul. Kopernika.* (Wyborcza)",,150,MultiLineString,1268.3,"52.2317,21.020801","52.237884,21.020476",7,umap_backup_1-maja_warszawa9.umap,,False
1998_PL_demonstracja_PPS,1998,Lata,PL,PPS,demonstracja,warstwa,PPS,False,niezwiazkowe,1998 PPS,"*Już o dziewiątej rano 120 sympatyków PPS zjej liderem, posłem SLD Piotrem Ikonowiczem na czele, zbierało się na warszawskim rondzie de Gaulle'a, słuchając piosenek propagandowych zlat 60. i 70. Z""Międzynarodówką"" na ustach przemaszerowali na ulicę Warecką, niosąc flagę Kuby, czerwone transparenty i podobizny Che Guevary. Złożyli wieniec pod tablicą upamiętniającą przedwojenną PPS. * (Rzeczpospolita)",,150,MultiLineString,1268.3,"52.2317,21.020801","52.237884,21.020476",8,umap_backup_1-maja_warszawa9.umap,,False
1999_PL_demonstracja_PPS,1999,Lata,PL,PPS,demonstracja,warstwa,PPS,False,niezwiazkowe,1999 PPS,"*(...) Wcześniej, na rondzie de Gaulle'a zebrali się członkowie PPS, którzy następnie przyłączyli się do sympatyków SdRP i OPZZ * (ŻW)",,150,MultiLineString,1268.3,"52.2317,21.020801","52.237884,21.020476",9,umap_backup_1-maja_warszawa9.umap,,False
2000_PL_demonstracja_PPS,2000,Lata,PL,PPS,demonstracja,warstwa,PPS,False,niezwiazkowe,2000 PPS,"*Pochód rusza o 9:30 z ronda de Gaulle'a; ceremonia składania kwiatów na Wareckiej, następnie spotkanie z pochodem OPZZ i SdRP pod pomnikiem Kopernika* (ŻW)",,150,MultiLineString,1268.3,"52.2317,21.020801","52.237884,21.020476",10,umap_backup_1-maja_warszawa9.umap,,False
2001_PL_demonstracja_PPS,2001,Lata,PL,PPS,demonstracja,warstwa,PPS,False,niezwiazkowe,2001 PPS,"*Po drodze do manifestacji (według policji szło w niej ok. 6 tys. osób) dołączył się PPS z transparentem ""Cuba si, Yankee no"".* (Wyborcza)",,150,MultiLineString,1268.3,"52.2317,21.020801","52.237884,21.020476",11,umap_backup_1-maja_warszawa9.umap,,False
2012_PL_demonstracja_NIEZNANY,2012,Lata,PL,Lewica radykalna,demonstracja,warstwa,,True,niezwiazkowe,,"Z kolei o godz. 9 przed pomnikiem Partyzanta przy ul. Smolnej rozpocznie się manifestacja organizowana przez Kancelarię Sprawiedliwości Społecznej. Uczestnicy tej manifestacji przemaszerują Al. Jerozolimskimi, ul. Emilii Plater na pl. Grzybowski. Zakończenie przewidziano na godz. 12. (Onet)
https://www.youtube.com/watch?v=kTIoPsWSDbg",,150,LineString,1991.5,"52.231774,21.020356","52.235607,21.003756",0,umap_backup_1-maja_warszawa9.umap,,True
1990_PL_demonstracja_PPS,1990,Lata,PL,Lewica radykalna,demonstracja,name,PPS,True,niezwiazkowe,1990 PPS-RD/PPS-TKK/Anarchist Demonstration,"*Plac Konstytucji w Warszawie. Godzina 10.00. Grupy młodzieży. Także „zadymiarzy"" w czarnych skórach i wygolonych głowach z „pióropuszami"" wilosów. Sa tez dorosii, nawet stateczni panowie. W sumie okolo 200-300osób. Rozrzucano ulotki Federacjl Anarchistycznej, Grupy Samorzadnosci Robotniczej. Rozdawano pismo „ROBOTNIK”, organ Polskiej Partil Socjalistycznej - Rewolucja Demokratyczna. To ta własnie partia jest głównym organizatorem manifestacji.* (Tygodnik Związkowiec",,250,LineString,2527.8,"52.235225,21.016578","52.221743,21.016507",1,umap_backup_1-maja_warszawa9.umap,,True
2002_PL_demonstracja_NIEZNANY,2002,Lata,PL,Lewica radykalna,demonstracja,warstwa,,True,niezwiazkowe,2002. Ręce Precz od Kodeksu Pracy,"*Obchody rozpoczęła 200-osobowa demonstracja niezależnej lewicy (m.in. PPS, Federacja Młodych Unii Pracy, Lewicowa Alternatywa, Pracownicza Demokracja), która pod hasłem ""Ręce precz od kodeksu pracy"" przeszła z Ronda de Gaulle’a pod siedzibę OPZZ. Tam socjaliści połączyli się z demonstracją związkowców i wyruszyli w stronę parlamentu.* (Zandberg, 2002)",,200,LineString,1100.2,"52.232031,21.02089","52.238004,21.018618",2,umap_backup_1-maja_warszawa9.umap,,True
2003_PL_demonstracja_NIEZNANY,2003,Lata,PL,Lewica radykalna,demonstracja,warstwa,,True,niezwiazkowe,2003 – Nowa Lewica + Inicjatywa Stop Wojnie pod ambasadę USA,"Nowa Lewica Ikonowicza spotyka się z SLD na rondzie de Gaulle'a, potem wspólnie z Inicjatywą Stop Wojnie (start: pl. Zamkowy) idą pod ambasadę USA. Na pochodzie kilka osób z Konfederacji Pracy (OPZZ)",,300,LineString,865.7,"52.231788,21.020762","52.224328,21.023841",3,umap_backup_1-maja_warszawa9.umap,,True
